"vowel","start","end","word","wstart","wend"
"AE1",0.53,0.79,"HAD",0.39,0.82
"AE1",1.56,1.77,"HAD",1.469,1.81
"EY1",2.28,2.67,"BAY'D",2.259,2.72
"EY1",3.49,3.81,"BAY'D",3.46,3.91
"AE1",4.17,4.359,"BAD",4.12,4.4
"AO1",4.67,4.96,"BOD",4.62,5.05
"AO1",5.69,5.89,"BOD",5.58,5.97
"IH1",6.24,6.48,"BID",6.22,6.53
"IH1",7.67,7.84,"BID",7.49,7.89
"IY1",8.16,8.459,"BEAD",8.12,8.599
"AH1",8.89,9.17,"BUD",8.849,9.199
"AH1",9.76,9.959,"BUD",9.689,10.01
"AH1",10.39,10.609,"HUD",10.279,10.629
"AH1",11.24,11.42,"HUD",11.099,11.49
"ER1",11.59,11.84,"BURN",11.539,11.9
"ER1",12.68,12.9,"BURN",12.57,12.98
"AO1",13.279,13.49,"HAW'D",13.209,13.689
"UW1",14.019,14.17,"BOON",13.949,14.24
"UW1",14.83,15.189,"BOON",14.709,15.25
"IH1",15.699,15.92,"HID",15.629,15.98
"IH1",16.469,16.669,"HID",16.41,16.71
"EH1",16.919,17.11,"BED",16.899,17.14
"EH1",17.72,17.94,"BED",17.649,17.98
"IY1",18.32,18.57,"HEED",18.19,18.59
"IY1",19.149,19.45,"HEED",19,19.489
"UW1",19.82,20.059,"WHO'D",19.7,20.21
"IY1",20.399,20.649,"BEAN",20.36,20.68
"IY1",21.18,21.44,"BEAN",21.12,21.78
"ER1",22.12,22.35,"BIRD",22.07,22.44
"ER1",23.72,23.94,"BIRD",23.649,24.03
"EY1",24.44,24.69,"HEY'D",24.3,24.78
"AH1",25.059,25.27,"HUD",24.989,25.41
"AH1",25.72,25.97,"BUD",25.68,26.02
"ER1",26.329,26.53,"HEARD",26.21,26.61
"ER1",27.11,27.36,"HEARD",27.059,27.419
"UH1",27.77,27.96,"HOOD",27.71,28.05
"UW1",28.329,28.54,"BOO'D",28.26,28.69
"ER1",28.95,29.19,"HEARD",28.829,29.29
"OW1",29.53,29.72,"BONE",29.47,29.76
"OW1",30.309,30.52,"BONE",30.19,30.66
"AO1",31.04,31.34,"HAW'D",30.95,31.46
"AO1",32.26,32.46,"HAW'D",32.21,32.59
"UW1",33.91,34.1,"BOO'D",33.85,34.31
"UW1",35.04,35.2,"BOO'D",34.93,35.26
"UH1",35.88,36.09,"STOOD",35.68,36.22
"UH1",36.87,37.03,"STOOD",36.76,37.11
"IH1",37.34,37.49,"HID",37.24,37.54
"EH1",37.76,37.94,"BED",37.74,37.99
"EY1",38.23,38.46,"BAY'D",38.2,38.5
"OW1",38.83,39.07,"HOED",38.8,39.15
"OW1",39.66,39.89,"HOED",39.6,40.03
"IY1",40.23,40.41,"BEAD",40.12,40.48
"IY1",40.97,41.18,"BEAD",40.89,41.28
"OW1",41.54,41.75,"HOED",41.51,41.81
"AE1",42.1,42.35,"BAD",42.08,42.37
"AE1",42.8,43.09,"BAD",42.78,43.12
"IY1",43.37,43.56,"HEED",43.26,43.6
"AH1",44.02,44.15,"BUN",43.89,44.3
"AH1",44.95,45.09,"BUN",44.88,45.2
"AO1",45.44,45.66,"BOD",45.2,45.77
"EH1",46.1,46.24,"HEAD",46.05,46.28
"IH1",46.48,46.61,"BIN",46.46,46.67
"IH1",47.19,47.34,"BIN",47.14,47.47
"AO1",47.73,47.91,"BAWN",47.68,47.96
"AO1",48.43,48.61,"BAWN",48.37,48.71
"EH1",48.92,49.11,"BEN",48.9,49.17
"EH1",49.72,49.87,"BEN",49.66,49.96
"IH1",50.36,50.54,"BID",50.32,50.59
"UW1",50.99,51.18,"WHO'D",50.83,51.39
"UW1",51.9,52.08,"WHO'D",51.82,52.19
"OW1",52.5,52.75,"BODE",52.45,52.88
"OW1",53.46,53.68,"BODE",53.39,53.75
"AE1",53.95,54.18,"BAN",53.92,54.22
"AE1",54.67,54.95,"BAN",54.63,55.14
"EH1",55.34,55.46,"HEAD",55.23,55.49
"EH1",55.92,56.09,"HEAD",55.85,56.13
"AE1",56.46,56.63,"HAD",56.38,56.68
"ER1",56.8,56.98,"BIRD",56.76,57.04
"EY1",57.38,57.59,"HEY'D",57.29,57.65
"EY1",58.1,58.32,"HEY'D",58.04,58.36
"UH1",58.72,58.87,"STOOD",58.62,58.93
"UH1",59.27,59.44,"HOOD",59.16,59.46
"UH1",59.96,60.12,"HOOD",59.9,60.22
"EY1",60.65,60.85,"BANE",60.61,60.89
"EY1",61.32,61.56,"BANE",61.29,61.65
"OW1",61.84,62.03,"BODE",61.78,62.13
