"vowel","start","end","word","wstart","wend"
"UW1",0.383,0.463,"WHO'D",0.173,0.553
"IY1",0.913,1.062,"HEED",0.883,1.113
"OW1",1.593,1.742,"HOED",1.532,1.843
"OW1",3.213,3.323,"HOED",3.043,3.433
"AE1",3.953,4.132,"HAD",3.833,4.213
"AE1",4.753,4.893,"HAD",4.693,4.953
"AH1",5.273,5.403,"BUN",5.183,5.493
"AH1",5.933,6.053,"BUN",5.873,6.153
"EH1",6.353,6.513,"BED",6.323,6.573
"EH1",7.093,7.243,"BED",7.023,7.283
"IH1",7.693,7.783,"HID",7.523,7.843
"IH1",8.372,8.472,"HID",8.312,8.523
"IY1",8.802,8.982,"BEAN",8.763,9.042
"IY1",9.823,9.933,"BEAN",9.792,10.062
"IH1",10.263,10.443,"BID",10.232,10.513
"ER1",10.802,10.972,"HEARD",10.703,11.042
"ER1",11.433,11.542,"HEARD",11.333,11.613
"ER1",12.103,12.263,"HEARD",12.073,12.302
"UH1",12.683,12.802,"STOOD",12.513,12.853
"EY1",13.203,13.363,"BAY'D",13.062,13.443
"EY1",14.103,14.343,"BAY'D",14.062,14.382
"AH1",14.642,14.792,"HUD",14.533,14.843
"AH1",15.382,15.513,"HUD",15.273,15.603
"UH1",16.062,16.172,"STOOD",15.982,16.213
"UH1",16.942,17.043,"STOOD",16.852,17.113
"IY1",17.453,17.613,"HEED",17.273,17.683
"IY1",18.323,18.512,"HEED",18.273,18.533
"OW1",18.743,18.953,"BODE",18.692,19.102
"AO1",19.243,19.463,"BAWN",19.192,19.543
"AO1",20.133,20.313,"BAWN",20.043,20.403
"IH1",20.643,20.793,"BIN",20.623,20.963
"IH1",21.493,21.653,"BIN",21.433,21.773
"AO1",22.223,22.463,"HAW'D",22.082,22.523
"AO1",23.273,23.503,"HAW'D",23.172,23.593
"UH1",24.133,24.273,"HOOD",23.973,24.323
"UH1",24.852,24.983,"HOOD",24.813,25.023
"UW1",25.483,25.793,"BOON",25.422,25.823
"UW1",26.413,26.533,"BOON",26.363,26.653
"ER1",27.073,27.253,"BIRD",27.012,27.293
"AE1",27.602,27.813,"BAD",27.582,27.852
"AE1",28.203,28.433,"BAD",28.183,28.463
"AE1",28.922,29.143,"BAD",28.903,29.192
"AO1",29.843,30.073,"HAW'D",29.703,30.223
"EH1",31.003,31.203,"BED",30.883,31.313
"IY1",31.633,31.7970833095673,"BEAD",31.473,31.8755798847802
"IY1",32.353,32.513,"BEAD",32.273,32.6560309645531
"AE1",32.973,33.163,"HAD",32.853,33.3066501521144
"EY1",33.593,33.803,"BAY'D",33.573,33.9241526242651
"AH1",34.323,34.483,"HUD",34.263,34.593
"OW1",34.943,35.103,"BONE",34.913,35.163
"OW1",35.6929840368023,35.893,"BONE",35.633,35.983
"UW1",36.243,36.393,"BOO'D",36.153,36.543
"UW1",37.183,37.253,"WHO'D",36.983,37.383
"UW1",37.913,38.023,"WHO'D",37.873,38.173
"ER1",38.483,38.653,"BIRD",38.383,38.743
"ER1",39.393,39.533,"BIRD",39.283,39.603
"OW1",40.033,40.213,"BODE",39.973,40.293
"OW1",40.833,40.993,"BODE",40.793,41.083
"EH1",41.583,41.783,"HEAD",41.533,41.813
"EH1",42.383,42.523,"HEAD",42.313,42.583
"UW1",42.953,43.063,"BOO'D",42.883,43.173
"UW1",43.783,43.893,"BOO'D",43.703,44.053
"AO1",44.563,44.713,"BOD",44.513,44.813
"EH1",45.123,45.283,"HEAD",45.053,45.363
"AO1",45.893,46.093,"BOD",45.803,46.133
"AO1",46.693,46.893,"BOD",46.663,46.973
"EY1",47.323,47.513,"HEY'D",47.243,47.603
"AH1",48.073,48.303,"BUD",47.953,48.3590495410236
"AH1",49.533,49.683,"BUD",49.443,49.763
"EY1",50.183,50.363,"BANE",50.143,50.453
"EY1",50.913,51.093,"BANE",50.843,51.433
"EY1",51.633,51.853,"HEY'D",51.503,51.913
"EY1",52.413,52.593,"HEY'D",52.373,52.633
"IH1",52.933,53.063,"HID",52.803,53.193
"EH1",53.493,53.663,"BED",53.463,53.703
"ER1",54.033,54.163,"BURN",53.973,54.293
"ER1",55.003,55.133,"BURN",54.903,55.233
"UH1",55.563,55.693,"HOOD",55.453,55.793
"OW1",56.353,56.473,"HOED",56.263,56.613
"AH1",56.813,57.003,"BUD",56.783,57.053
"EH1",57.553,57.743,"BEN",57.533,57.843
"EH1",58.313,58.463,"BEN",58.283,58.543
"IY1",58.953,59.123,"BEAD",58.913,59.193
"IH1",59.613,59.783,"BID",59.593,59.853
"IH1",60.4306612276411,60.5450354955446,"BID",60.4000540291881,60.6996823929915
"AE1",61.13052096396,61.3173859488462,"BAN",61.093,61.401152929241
