"vowel","start","end","word","wstart","wend"
"IH1",0.204,0.385,"BIN",0.175,0.635
"IH1",1.785,1.905,"BIN",1.745,2.094
"EY1",2.555,2.775,"HEY'D",2.405,2.825
"UH1",2.855,2.885,"HOOD",2.825,2.905
"UH1",3.435,3.465,"HOOD",3.405,3.515
"IH1",3.545,3.575,"HID",3.515,3.595
"EH1",4.025,4.194,"HEAD",3.895,4.235
"EH1",4.735,4.925,"HEAD",4.625,5.015
"EY1",5.335,5.615,"BAY'D",5.315,5.685
"EY1",6.695,6.955,"BAY'D",6.645,6.995
"ER1",7.405,7.575,"BIRD",7.355,7.725
"IH1",8.174,8.374,"BID",8.155,8.475
"UH1",9.065,9.265,"STOOD",8.794,9.385
"UH1",10.284,10.354,"STOOD",10.034,10.515
"IH1",11.104,11.325,"BID",11.085,11.444
"IH1",12.124,12.245,"BID",12.095,12.755
"OW1",13.245,13.434,"HOED",13.124,13.595
"OW1",14.265,14.434,"HOED",14.124,14.534
"UH1",15.135,15.315,"STOOD",14.925,15.714
"EY1",16.175,16.354,"HEY'D",16.034,16.484
"EY1",17.175,17.365,"HEY'D",17.055,17.425
"UH1",17.905,18.074,"HOOD",17.785,18.185
"AE1",18.775,19.085,"BAN",18.754,19.245
"AE1",19.845,20.144,"BAN",19.785,20.545
"EY1",21.035,21.295,"BANE",21.004,21.385
"EY1",21.945,22.225,"BANE",21.925,22.345
"IY1",23.004,23.205,"HEED",22.865,23.254
"IY1",23.995,24.195,"HEED",23.795,24.254
"OW1",24.785,24.975,"HOED",24.565,25.074
"AO1",25.795,26.035,"BAWN",25.765,26.324
"AO1",26.975,27.215,"BAWN",26.935,27.375
"OW1",27.785,28.045,"BODE",27.725,28.135
"ER1",28.775,29.004,"BURN",28.725,29.195
"ER1",29.865,30.065,"BURN",29.815,30.405
"UW1",30.875,31.085,"BOON",30.815,31.285
"UW1",31.894,32.105,"BOON",31.795,32.485
"UW1",33.125,33.285,"WHO'D",32.875,33.475
"UW1",34.185,34.345,"WHO'D",34.095,34.435
"IH1",34.975,35.125,"HID",34.865,35.235
"IH1",35.945,36.115,"HID",35.835,36.215
"EH1",36.695,36.895,"BED",36.675,37.005
"UW1",37.615,37.835,"BOO'D",37.545,37.935
"AO1",38.485,38.765,"BOD",38.445,38.845
"EH1",39.395,39.595,"HEAD",39.285,39.685
"AE1",40.105,40.435,"BAD",40.085,40.645
"AE1",41.185,41.475,"BAD",41.155,41.925
"IY1",42.695,42.875,"BEAD",42.435,42.925
"AH1",43.125,43.385,"BUD",43.105,43.475
"EY1",43.905,44.135,"BAY'D",43.885,44.235
"AH1",44.605,44.845,"BUN",44.585,45.095
"AH1",45.675,45.855,"BUN",45.615,46.385
"AH1",46.825,47.085,"BUD",46.795,47.215
"AH1",47.855,48.115,"BUD",47.835,48.175
"AE1",48.655,48.885,"HAD",48.505,48.955
"AE1",49.535,49.765,"HAD",49.375,49.845
"OW1",50.225,50.495,"BONE",50.175,50.625
"OW1",51.165,51.425,"BONE",51.065,51.545
"UW1",51.975,52.155,"WHO'D",51.795,52.245
"ER1",52.615,52.855,"HEARD",52.465,52.955
"EH1",53.305,53.545,"BED",53.265,53.625
"EH1",54.275,54.355,"BED",54.225,54.375
"AO1",55.215,55.445,"BOD",54.485,55.525
"AO1",56.055,56.305,"BOD",56.025,56.455
"IY1",57.065,57.295,"BEAN",56.455,57.395
"IY1",57.975,58.205,"BEAN",57.895,58.665
"AE1",59.035,59.245,"HAD",58.885,59.345
"AH1",59.655,59.855,"HUD",59.615,59.955
"AH1",60.655,60.845,"HUD",60.495,60.925
"AE1",61.155,61.485,"BAD",61.135,61.565
"AO1",62.035,62.335,"HAW'D",61.915,62.455
"UW1",62.675,62.895,"BOO'D",62.625,63.015
"UW1",63.665,63.935,"BOO'D",63.625,64.025
"ER1",64.365,64.565,"HEARD",64.235,64.665
"ER1",65.265,65.525,"HEARD",65.145,65.585
"OW1",65.945,66.215,"BODE",65.895,66.295
"OW1",66.855,67.155,"BODE",66.835,67.545
"AH1",67.895,68.095,"HUD",67.725,68.195
"IY1",68.465,68.695,"BEAD",68.425,68.715
"IY1",69.435,69.675,"BEAD",69.415,69.725
"IY1",70.115,70.335,"HEED",69.925,70.375
"ER1",70.715,70.935,"BIRD",70.695,71.035
"ER1",71.675,71.925,"BIRD",71.615,72.005
"EH1",72.235,72.465,"BEN",72.215,72.545
"EH1",73.095,73.345,"BEN",73.065,73.485
"AO1",73.955,74.165,"HAW'D",73.815,74.275
"AO1",74.795,75.035,"HAW'D",74.685,75.515
