"vowel","start","end","word","wstart","wend"
"IY1",0.183,0.453,"BEAD",0.133,0.533
"IY1",1.413,1.643,"BEAD",1.373,1.772
"UW1",2.373,2.653,"BOO'D",2.313,2.713
"UW1",3.593,3.853,"BOO'D",3.543,3.943
"IH1",4.453,4.643,"BID",4.403,4.693
"EY1",5.193,5.463,"BANE",5.173,5.613
"EY1",6.373,6.623,"BANE",6.233,6.763
"ER1",7.253,7.533,"HEARD",7.083,7.573
"ER1",8.493,8.722,"HEARD",8.353,8.763
"IY1",9.472,9.693,"HEED",9.323,9.732
"AH1",10.372,10.603,"BUD",10.353,10.792
"AH1",11.482,11.693,"BUD",11.443,11.783
"AO1",12.163,12.443,"BOD",12.122,12.482
"AO1",13.183,13.402,"BOD",13.132,13.533
"ER1",14.013,14.263,"BURN",13.962,14.413
"ER1",15.122,15.323,"BURN",15.083,15.433
"UH1",16.152,16.283,"STOOD",15.882,16.363
"AH1",16.893,17.113,"BUD",16.863,17.192
"AE1",17.743,17.942,"HAD",17.573,18.033
"AE1",18.733,18.913,"HAD",18.602,18.993
"EY1",19.323,19.623,"BAY'D",19.293,19.663
"AE1",20.102,20.403,"BAD",20.073,20.453
"AE1",21.113,21.343,"BAD",21.093,21.473
"IY1",22.203,22.422,"HEED",22.003,22.463
"IY1",23.233,23.413,"HEED",23.133,23.463
"UW1",23.863,24.093,"BOON",23.803,24.262
"UW1",24.922,25.123,"BOON",24.863,25.262
"OW1",25.663,25.893,"HOED",25.483,25.933
"OW1",26.633,26.863,"HOED",26.523,26.922
"IH1",27.192,27.383,"BIN",27.143,27.563
"IH1",28.213,28.373,"BIN",28.113,28.543
"IH1",28.973,29.163,"HID",28.852,29.262
"IH1",30.003,30.143,"HID",29.883,30.253
"AO1",30.543,30.783,"BAWN",30.493,30.922
"AO1",31.563,31.823,"BAWN",31.523,31.953
"UH1",32.543,32.733,"STOOD",32.303,32.873
"UH1",33.593,33.703,"STOOD",33.373,33.783
"AE1",34.503,34.713,"HAD",34.323,34.743
"EY1",35.443,35.733,"HEY'D",35.263,35.773
"EY1",36.493,36.733,"HEY'D",36.373,36.763
"IH1",37.193,37.443,"BID",37.163,37.493
"IH1",38.253,38.463,"BID",38.163,38.553
"EH1",39.033,39.253,"BED",38.973,39.293
"AE1",39.903,40.183,"BAN",39.883,40.263
"AE1",40.833,41.103,"BAN",40.803,41.223
"OW1",41.683,41.963,"BONE",41.653,42.053
"OW1",42.623,42.853,"BONE",42.593,42.983
"ER1",43.403,43.673,"BIRD",43.333,43.723
"EH1",44.213,44.463,"BED",44.193,44.533
"EH1",45.113,45.343,"BED",45.033,45.393
"OW1",45.893,46.143,"BODE",45.833,46.193
"UH1",46.673,46.883,"HOOD",46.523,46.933
"UH1",47.633,47.783,"HOOD",47.543,47.843
"OW1",48.413,48.713,"BODE",48.383,48.753
"OW1",49.433,49.673,"BODE",49.363,49.723
"IY1",50.243,50.473,"BEAN",50.193,50.593
"IY1",51.173,51.413,"BEAN",51.053,51.523
"IY1",51.883,52.103,"BEAD",51.823,52.143
"UH1",52.733,52.923,"HOOD",52.613,52.973
"AO1",53.703,53.983,"HAW'D",53.553,54.053
"AO1",54.763,55.023,"HAW'D",54.633,55.063
"EH1",55.383,55.623,"BEN",55.353,55.783
"EH1",56.333,56.533,"BEN",56.253,56.693
"EY1",57.093,57.373,"BAY'D",57.033,57.483
"EY1",58.093,58.353,"BAY'D",58.003,58.393
"UW1",58.913,59.123,"WHO'D",58.703,59.173
"UW1",59.963,60.193,"WHO'D",59.803,60.323
"AO1",60.623,60.903,"BOD",60.573,60.943
"IH1",61.423,61.603,"HID",61.233,61.703
"EH1",62.133,62.323,"HEAD",61.983,62.353
"EH1",63.113,63.243,"HEAD",62.983,63.343
"AH1",63.883,64.043,"HUD",63.693,64.193
"AH1",64.873,65.003,"HUD",64.733,65.063
"AH1",65.593,65.783,"HUD",65.453,65.853
"OW1",66.393,66.653,"HOED",66.273,66.733
"AH1",66.993,67.203,"BUN",66.973,67.373
"AH1",67.983,68.143,"BUN",67.953,68.313
"AE1",68.523,68.843,"BAD",68.503,68.883
"AO1",69.323,69.613,"HAW'D",69.183,69.663
"UW1",70.193,70.493,"BOO'D",70.123,70.533
"EH1",71.063,71.233,"HEAD",70.913,71.293
"UW1",71.783,72.033,"WHO'D",71.613,72.133
"ER1",72.463,72.743,"BIRD",72.393,72.803
"ER1",73.583,73.823,"BIRD",73.533,73.883
"ER1",74.373,74.633,"HEARD",74.233,74.673
"EY1",74.993,75.253,"HEY'D",74.853,75.353
