"vowel","start","end","word","wstart","wend"
"IY1",0.234,0.514,"BEAD",0.174,0.564
"IY1",1.664,1.964,"BEAD",1.624,2.063
"UH1",2.654,2.834,"STOOD",2.414,2.934
"UH1",4.064,4.274,"STOOD",3.794,4.394
"IH1",4.754,4.954,"BIN",4.734,5.204
"IH1",6.184,6.374,"BIN",6.124,6.594
"UW1",7.204,7.424,"WHO'D",7.094,7.524
"UW1",8.773,9.004,"WHO'D",8.664,9.103
"EY1",9.343,9.664,"BAY'D",9.314,9.703
"EY1",10.804,11.144,"BAY'D",10.763,11.234
"IH1",11.814,12.023,"HID",11.673,12.124
"IH1",13.294,13.504,"HID",13.154,13.644
"AH1",13.953,14.244,"BUD",13.923,14.374
"AH1",15.314,15.603,"BUD",15.294,15.673
"AO1",16.164,16.464,"BOD",16.134,16.594
"AO1",17.313,17.644,"BOD",17.294,17.743
"OW1",18.254,18.544,"HOED",18.214,18.624
"OW1",19.493,19.834,"HOED",19.383,19.934
"EH1",20.304,20.524,"BEN",20.254,20.734
"EH1",21.594,21.774,"BEN",21.534,21.993
"AE1",22.194,22.544,"BAD",22.174,22.594
"AE1",23.524,23.874,"BAD",23.493,23.914
"AO1",24.223,24.524,"BAWN",24.194,24.633
"AO1",25.394,25.694,"BAWN",25.344,25.883
"UW1",26.264,26.534,"BOO'D",26.204,26.664
"UW1",27.674,27.964,"BOO'D",27.614,28.124
"AE1",28.584,28.834,"HAD",28.434,28.984
"AE1",29.813,30.074,"HAD",29.644,30.194
"ER1",30.504,30.754,"BIRD",30.444,30.864
"ER1",31.674,31.973,"BIRD",31.614,32.024
"AH1",32.484,32.714,"HUD",32.374,32.754
"AH1",33.524,33.764,"HUD",33.444,33.834
"AE1",34.214,34.534,"BAN",34.194,34.624
"AE1",35.314,35.654,"BAN",35.274,35.784
"IY1",36.174,36.474,"BEAN",36.114,36.564
"IY1",37.254,37.654,"BEAN",37.144,37.684
"AO1",38.144,38.424,"HAW'D",38.034,38.484
"AO1",39.234,39.514,"HAW'D",39.054,39.644
"OW1",40.104,40.414,"BODE",40.054,40.474
"OW1",41.384,41.734,"BODE",41.334,41.814
"EY1",42.134,42.394,"HEY'D",42.044,42.514
"EY1",43.344,43.604,"HEY'D",43.214,43.674
"ER1",44.164,44.444,"HEARD",44.084,44.494
"ER1",45.454,45.744,"HEARD",45.374,45.804
"EY1",46.194,46.564,"BANE",46.154,46.674
"EY1",47.464,47.804,"BANE",47.414,47.954
"AH1",48.194,48.414,"BUN",48.164,48.594
"AH1",49.254,49.454,"BUN",49.234,49.664
"IY1",50.094,50.344,"HEED",49.954,50.534
"IY1",51.264,51.504,"HEED",51.094,51.554
"UW1",51.914,52.174,"BOON",51.884,52.334
"UW1",53.274,53.524,"BOON",53.164,53.634
"UH1",54.094,54.294,"HOOD",53.954,54.414
"UH1",55.614,55.894,"HOOD",55.374,55.964
"IH1",56.314,56.564,"BID",56.264,56.604
"IH1",57.384,57.664,"BID",57.334,57.704
"EH1",58.164,58.374,"HEAD",57.944,58.404
"EH1",59.274,59.464,"HEAD",59.084,59.604
"ER1",60.094,60.354,"BURN",60.044,60.644
"ER1",61.284,61.604,"BURN",61.224,61.634
"OW1",62.084,62.374,"BONE",62.044,62.414
"OW1",63.224,63.544,"BONE",63.114,63.704
"EH1",63.944,64.244,"BED",63.924,64.374
"EH1",65.134,65.404,"BED",65.114,65.454
