"vowel","start","end","word","wstart","wend"
"ER1",0.258,0.537,"HEARD",0.218,0.637
"UW1",1.328,1.578,"BOO'D",1.118,1.618
"UW1",2.618,2.858,"BOO'D",2.528,2.978
"AH1",3.678,3.878,"HUD",3.538,4.018
"AH1",4.928,5.108,"HUD",4.818,5.158
"IH1",5.778,5.928,"HID",5.588,6.058
"IH1",6.908,7.108,"HID",6.808,7.238
"EH1",7.928,8.137,"HEAD",7.778,8.188
"EH1",9.118,9.327,"HEAD",8.997,9.417
"AE1",10.048,10.327,"HAD",9.888,10.428
"IH1",10.878,11.067,"BID",10.858,11.128
"IH1",11.897,12.147,"BID",11.837,12.227
"ER1",12.958,13.198,"BIRD",12.778,13.278
"ER1",14.018,14.307,"BIRD",13.928,14.378
"EH1",14.977,15.247,"HEAD",14.827,15.327
"UH1",15.958,16.177,"STOOD",15.667,16.278
"OW1",16.877,17.138,"HOED",16.748,17.188
"OW1",18.158,18.408,"HOED",18.028,18.488
"OW1",19.138,19.398,"BODE",18.938,19.498
"OW1",20.278,20.517,"BODE",20.178,20.568
"AO1",21.017,21.318,"HAW'D",20.848,21.428
"AO1",22.127,22.357,"HAW'D",22.048,22.458
"EY1",22.857,23.107,"HEY'D",22.728,23.208
"EY1",23.877,24.107,"HEY'D",23.778,24.188
"IH1",24.668,24.938,"BIN",24.537,24.968
"IH1",25.688,25.877,"BIN",25.618,26.048
"UW1",26.478,26.748,"BOO'D",26.357,26.828
"AO1",27.197,27.508,"HAW'D",27.078,27.607
"IY1",28.197,28.418,"HEED",28.058,28.478
"IY1",29.197,29.357,"HEED",29.127,29.438
"AH1",29.848,30.098,"BUD",29.697,30.208
"AH1",31.088,31.348,"BUD",31.008,31.447
"AO1",31.848,32.158,"BOD",31.718,32.208
"AO1",33.098,33.368,"BOD",32.968,33.438
"AH1",33.728,33.998,"BUD",33.698,34.068
"EY1",34.558,34.828,"BAY'D",34.508,34.918
"AH1",35.338,35.568,"HUD",35.178,35.648
"EH1",36.048,36.338,"BED",35.998,36.418
"AE1",36.878,37.158,"BAN",36.858,37.208
"AE1",37.888,38.168,"BAN",37.818,38.278
"IY1",38.558,38.828,"BEAD",38.378,38.898
"EH1",39.458,39.668,"BED",39.318,39.758
"EH1",40.418,40.648,"BED",40.328,40.738
"IH1",41.108,41.308,"HID",41.018,41.378
"OW1",41.898,42.188,"HOED",41.768,42.288
"AO1",42.648,42.838,"BAWN",42.508,42.928
"AO1",43.538,43.768,"BAWN",43.498,43.898
"AE1",44.408,44.788,"BAD",44.308,44.858
"IY1",45.288,45.568,"BEAN",45.098,45.608
"IY1",46.288,46.558,"BEAN",46.188,46.638
"IY1",47.128,47.358,"BEAD",46.968,47.438
"IY1",48.208,48.528,"BEAD",48.118,48.548
"ER1",49.108,49.328,"BURN",48.948,49.448
"ER1",50.208,50.488,"BURN",50.128,50.588
"ER1",51.108,51.368,"HEARD",50.978,51.448
"ER1",52.098,52.358,"HEARD",52.038,52.398
"UH1",53.308,53.428,"STOOD",53.048,53.498
"UH1",54.298,54.448,"STOOD",54.238,54.488
"AE1",55.088,55.318,"HAD",54.898,55.428
"AE1",56.088,56.318,"HAD",55.998,56.368
"ER1",56.648,56.908,"BIRD",56.518,56.998
"UW1",57.338,57.588,"BOON",57.198,57.618
"UW1",58.338,58.558,"BOON",58.208,58.698
"EY1",59.278,59.668,"BAY'D",59.098,59.748
"EY1",60.518,60.798,"BAY'D",60.398,60.878
"EH1",61.398,61.678,"BEN",61.248,61.788
"EH1",62.508,62.718,"BEN",62.428,62.858
"AH1",63.308,63.528,"BUN",63.128,63.628
"AH1",64.388,64.568,"BUN",64.338,64.708
"AE1",65.138,65.468,"BAD",65.028,65.558
"AE1",66.158,66.448,"BAD",66.128,66.518
"EY1",67.088,67.368,"HEY'D",66.938,67.448
"EY1",68.038,68.368,"BANE",67.878,68.398
"EY1",69.098,69.378,"BANE",69.018,69.508
"UW1",69.898,70.178,"WHO'D",69.788,70.238
"OW1",70.708,71.008,"BODE",70.538,71.118
"UW1",71.658,71.848,"WHO'D",71.598,71.918
"UW1",72.618,72.858,"WHO'D",72.568,72.948
"OW1",73.468,73.768,"BONE",73.308,73.798
"OW1",74.498,74.758,"BONE",74.408,74.858
"IY1",75.988,76.268,"HEED",75.818,76.328
"IH1",76.868,77.158,"BID",76.728,77.258
"UH1",77.908,78.148,"HOOD",77.778,78.248
"UH1",78.958,79.138,"HOOD",78.808,79.178
"UH1",79.998,80.138,"HOOD",79.898,80.258
"AO1",80.878,81.198,"BOD",80.668,81.268
