"","phon","start","end","word","wstart","wend"
"1","sp",0,0.013,"sp",0,0.013
"2","sp",0.013,0.123,"sp",0.013,0.123
"3","B",0.123,0.183,"BUD",0.123,0.273
"4","AH1",0.183,0.253,"BUD",0.123,0.273
"5","D",0.253,0.273,"BUD",0.123,0.273
"6","sp",0.273,0.303,"sp",0.273,0.303
"7","DH",0.303,0.343,"THE",0.303,0.443
"8","AH0",0.343,0.443,"THE",0.303,0.443
"9","W",0.443,0.502,"WORD",0.443,0.643
"10","ER1",0.502,0.602,"WORD",0.443,0.643
"11","D",0.602,0.643,"WORD",0.443,0.643
"12","IH1",0.643,0.693,"IS",0.643,0.783
"13","Z",0.693,0.783,"IS",0.643,0.783
"14","sp",0.783,0.823,"sp",0.783,0.823
"15","B",0.823,0.852,"BUD",0.823,1.182
"16","AH1",0.852,1.053,"BUD",0.823,1.182
"17","D",1.053,1.182,"BUD",0.823,1.182
"18","sp",1.182,1.642,"sp",1.182,1.642
"19","B",1.642,1.773,"BIRD",1.642,1.963
"20","ER1",1.773,1.883,"BIRD",1.642,1.963
"21","D",1.883,1.963,"BIRD",1.642,1.963
"22","DH",1.963,2.013,"THE",1.963,2.053
"23","AH0",2.013,2.053,"THE",1.963,2.053
"24","W",2.053,2.183,"WORD",2.053,2.313
"25","ER1",2.183,2.263,"WORD",2.053,2.313
"26","D",2.263,2.313,"WORD",2.053,2.313
"27","IH1",2.313,2.373,"IS",2.313,2.453
"28","Z",2.373,2.453,"IS",2.313,2.453
"29","B",2.453,2.543,"BIRD",2.453,2.743
"30","ER1",2.543,2.703,"BIRD",2.453,2.743
"31","D",2.703,2.743,"BIRD",2.453,2.743
"32","sp",2.743,3.033,"sp",2.743,3.033
"33","B",3.033,3.133,"BEAN",3.033,3.343
"34","IY1",3.133,3.273,"BEAN",3.033,3.343
"35","N",3.273,3.343,"BEAN",3.033,3.343
"36","DH",3.343,3.383,"THE",3.343,3.423
"37","AH0",3.383,3.423,"THE",3.343,3.423
"38","W",3.423,3.563,"WORD",3.423,3.693
"39","ER1",3.563,3.643,"WORD",3.423,3.693
"40","D",3.643,3.693,"WORD",3.423,3.693
"41","IH1",3.693,3.743,"IS",3.693,3.833
"42","Z",3.743,3.833,"IS",3.693,3.833
"43","B",3.833,3.943,"BEAN",3.833,4.253
"44","IY1",3.943,4.083,"BEAN",3.833,4.253
"45","N",4.083,4.253,"BEAN",3.833,4.253
"46","sp",4.253,4.443,"sp",4.253,4.443
"47","B",4.443,4.583,"BODE",4.443,4.783
"48","OW1",4.583,4.723,"BODE",4.443,4.783
"49","D",4.723,4.783,"BODE",4.443,4.783
"50","DH",4.783,4.833,"THE",4.783,4.883
"51","AH0",4.833,4.883,"THE",4.783,4.883
"52","W",4.883,5.013,"WORD",4.883,5.153
"53","ER1",5.013,5.113,"WORD",4.883,5.153
"54","D",5.113,5.153,"WORD",4.883,5.153
"55","AH0",5.153,5.183,"IS",5.153,5.283
"56","Z",5.183,5.283,"IS",5.153,5.283
"57","B",5.283,5.363,"BODE",5.283,5.593
"58","OW1",5.363,5.523,"BODE",5.283,5.593
"59","D",5.523,5.593,"BODE",5.283,5.593
"60","sp",5.593,5.803,"sp",5.593,5.803
"61","HH",5.803,5.933,"HOOD",5.803,6.143
"62","UH1",5.933,6.043,"HOOD",5.803,6.143
"63","D",6.043,6.143,"HOOD",5.803,6.143
"64","sp",6.143,6.193,"sp",6.143,6.193
"65","DH",6.193,6.243,"THE",6.193,6.303
"66","AH0",6.243,6.303,"THE",6.193,6.303
"67","W",6.303,6.433,"WORD",6.303,6.563
"68","ER1",6.433,6.523,"WORD",6.303,6.563
"69","D",6.523,6.563,"WORD",6.303,6.563
"70","IH1",6.563,6.613,"IS",6.563,6.733
"71","Z",6.613,6.733,"IS",6.563,6.733
"72","HH",6.733,6.813,"HOOD",6.733,6.923
"73","UH1",6.813,6.873,"HOOD",6.733,6.923
"74","D",6.873,6.923,"HOOD",6.733,6.923
"75","sp",6.923,7.323,"sp",6.923,7.323
"76","B",7.323,7.423,"BAD",7.323,7.643
"77","AE1",7.423,7.613,"BAD",7.323,7.643
"78","D",7.613,7.643,"BAD",7.323,7.643
"79","DH",7.643,7.693,"THE",7.643,7.743
"80","AH0",7.693,7.743,"THE",7.643,7.743
"81","W",7.743,7.863,"WORD",7.743,8.002
"82","ER1",7.863,7.943,"WORD",7.743,8.002
"83","D",7.943,8.002,"WORD",7.743,8.002
"84","IH1",8.002,8.032,"IS",8.002,8.153
"85","Z",8.032,8.153,"IS",8.002,8.153
"86","B",8.153,8.202,"BAD",8.153,8.473
"87","AE1",8.202,8.423,"BAD",8.153,8.473
"88","D",8.423,8.473,"BAD",8.153,8.473
"89","sp",8.473,8.692,"sp",8.473,8.692
"90","HH",8.692,8.872,"WHO'D",8.692,9.112
"91","UW1",8.872,9.042,"WHO'D",8.692,9.112
"92","D",9.042,9.112,"WHO'D",8.692,9.112
"93","sp",9.112,9.233,"sp",9.112,9.233
"94","DH",9.233,9.263,"THE",9.233,9.343
"95","AH0",9.263,9.343,"THE",9.233,9.343
"96","W",9.343,9.462,"WORD",9.343,9.593
"97","ER1",9.462,9.542,"WORD",9.343,9.593
"98","D",9.542,9.593,"WORD",9.343,9.593
"99","IH1",9.593,9.653,"IS",9.593,9.712
"100","Z",9.653,9.712,"IS",9.593,9.712
"101","HH",9.712,9.813,"WHO'D",9.712,10.013
"102","UW1",9.813,9.923,"WHO'D",9.712,10.013
"103","D",9.923,10.013,"WHO'D",9.712,10.013
"104","sp",10.013,10.413,"sp",10.013,10.413
"105","B",10.413,10.542,"BIN",10.413,10.743
"106","IH1",10.542,10.622,"BIN",10.413,10.743
"107","N",10.622,10.743,"BIN",10.413,10.743
"108","DH",10.743,10.782,"THE",10.743,10.833
"109","AH0",10.782,10.833,"THE",10.743,10.833
"110","W",10.833,10.973,"WORD",10.833,11.112
"111","ER1",10.973,11.063,"WORD",10.833,11.112
"112","D",11.063,11.112,"WORD",10.833,11.112
"113","IH1",11.112,11.173,"IS",11.112,11.302
"114","Z",11.173,11.302,"IS",11.112,11.302
"115","sp",11.302,11.323,"sp",11.302,11.323
"116","B",11.323,11.343,"BIN",11.323,11.643
"117","IH1",11.343,11.483,"BIN",11.323,11.643
"118","N",11.483,11.643,"BIN",11.323,11.643
"119","sp",11.643,11.843,"sp",11.643,11.843
"120","B",11.843,11.973,"BAN",11.843,12.212
"121","AE1",11.973,12.183,"BAN",11.843,12.212
"122","N",12.183,12.212,"BAN",11.843,12.212
"123","DH",12.212,12.272,"THE",12.212,12.302
"124","AH0",12.272,12.302,"THE",12.212,12.302
"125","W",12.302,12.423,"WORD",12.302,12.552
"126","ER1",12.423,12.503,"WORD",12.302,12.552
"127","D",12.503,12.552,"WORD",12.302,12.552
"128","IH1",12.552,12.603,"IS",12.552,12.692
"129","Z",12.603,12.692,"IS",12.552,12.692
"130","B",12.692,12.733,"BAN",12.692,13.063
"131","AE1",12.733,12.923,"BAN",12.692,13.063
"132","N",12.923,13.063,"BAN",12.692,13.063
"133","sp",13.063,13.282,"sp",13.063,13.282
"134","B",13.282,13.343,"BOO'D",13.282,13.603
"135","UW1",13.343,13.473,"BOO'D",13.282,13.603
"136","D",13.473,13.603,"BOO'D",13.282,13.603
"137","sp",13.603,13.663,"sp",13.603,13.663
"138","DH",13.663,13.723,"THE",13.663,13.763
"139","AH0",13.723,13.763,"THE",13.663,13.763
"140","W",13.763,13.893,"WORD",13.763,13.973
"141","ER1",13.893,13.933,"WORD",13.763,13.973
"142","D",13.933,13.973,"WORD",13.763,13.973
"143","IH1",13.973,14.013,"IS",13.973,14.122
"144","Z",14.013,14.122,"IS",13.973,14.122
"145","sp",14.122,14.143,"sp",14.122,14.143
"146","B",14.143,14.212,"BOO'D",14.143,14.372
"147","UW1",14.212,14.302,"BOO'D",14.143,14.372
"148","D",14.302,14.372,"BOO'D",14.143,14.372
"149","sp",14.372,14.733,"sp",14.372,14.733
"150","HH",14.733,15.052,"HEAD",14.733,15.272
"151","EH1",15.052,15.223,"HEAD",14.733,15.272
"152","D",15.223,15.272,"HEAD",14.733,15.272
"153","sp",15.272,15.292,"sp",15.272,15.292
"154","DH",15.292,15.353,"THE",15.292,15.393
"155","AH0",15.353,15.393,"THE",15.292,15.393
"156","W",15.393,15.522,"WORD",15.393,15.603
"157","ER1",15.522,15.563,"WORD",15.393,15.603
"158","D",15.563,15.603,"WORD",15.393,15.603
"159","AH0",15.603,15.632,"IS",15.603,15.743
"160","Z",15.632,15.743,"IS",15.603,15.743
"161","HH",15.743,15.813,"HEAD",15.743,16.003
"162","EH1",15.813,15.933,"HEAD",15.743,16.003
"163","D",15.933,16.003,"HEAD",15.743,16.003
"164","sp",16.003,16.252,"sp",16.003,16.252
"165","B",16.252,16.302,"BOD",16.252,16.592
"166","AO1",16.302,16.533,"BOD",16.252,16.592
"167","D",16.533,16.592,"BOD",16.252,16.592
"168","DH",16.592,16.643,"THE",16.592,16.683
"169","AH0",16.643,16.683,"THE",16.592,16.683
"170","W",16.683,16.813,"WORD",16.683,16.883
"171","ER1",16.813,16.863,"WORD",16.683,16.883
"172","D",16.863,16.883,"WORD",16.683,16.883
"173","IH1",16.883,16.923,"IS",16.883,17.023
"174","Z",16.923,17.023,"IS",16.883,17.023
"175","B",17.023,17.092,"BOD",17.023,17.353
"176","AO1",17.092,17.273,"BOD",17.023,17.353
"177","D",17.273,17.353,"BOD",17.023,17.353
"178","sp",17.353,17.653,"sp",17.353,17.653
"179","S",17.653,17.822,"STOOD",17.653,18.033
"180","T",17.822,17.893,"STOOD",17.653,18.033
"181","UH1",17.893,18.013,"STOOD",17.653,18.033
"182","D",18.013,18.033,"STOOD",17.653,18.033
"183","DH",18.033,18.072,"THE",18.033,18.113
"184","AH0",18.072,18.113,"THE",18.033,18.113
"185","W",18.113,18.223,"WORD",18.113,18.333
"186","ER1",18.223,18.303,"WORD",18.113,18.333
"187","D",18.303,18.333,"WORD",18.113,18.333
"188","IH1",18.333,18.383,"IS",18.333,18.423
"189","Z",18.383,18.423,"IS",18.333,18.423
"190","S",18.423,18.533,"STOOD",18.423,18.783
"191","T",18.533,18.623,"STOOD",18.423,18.783
"192","UH1",18.623,18.743,"STOOD",18.423,18.783
"193","D",18.743,18.783,"STOOD",18.423,18.783
"194","sp",18.783,19.023,"sp",18.783,19.023
"195","HH",19.023,19.162,"HAW'D",19.023,19.403
"196","AO1",19.162,19.322,"HAW'D",19.023,19.403
"197","D",19.322,19.403,"HAW'D",19.023,19.403
"198","sp",19.403,19.433,"sp",19.403,19.433
"199","DH",19.433,19.482,"THE",19.433,19.523
"200","AH0",19.482,19.523,"THE",19.433,19.523
"201","W",19.523,19.643,"WORD",19.523,19.763
"202","ER1",19.643,19.703,"WORD",19.523,19.763
"203","D",19.703,19.763,"WORD",19.523,19.763
"204","AH0",19.763,19.793,"IS",19.763,19.912
"205","Z",19.793,19.912,"IS",19.763,19.912
"206","HH",19.912,19.973,"HAW'D",19.912,20.153
"207","AO1",19.973,20.123,"HAW'D",19.912,20.153
"208","D",20.123,20.153,"HAW'D",19.912,20.153
"209","sp",20.153,20.563,"sp",20.153,20.563
"210","B",20.563,20.703,"BAWN",20.563,20.953
"211","AO1",20.703,20.912,"BAWN",20.563,20.953
"212","N",20.912,20.953,"BAWN",20.563,20.953
"213","DH",20.953,20.993,"THE",20.953,21.033
"214","AH0",20.993,21.033,"THE",20.953,21.033
"215","W",21.033,21.153,"WORD",21.033,21.232
"216","ER1",21.153,21.203,"WORD",21.033,21.232
"217","D",21.203,21.232,"WORD",21.033,21.232
"218","IH1",21.232,21.283,"IS",21.232,21.363
"219","Z",21.283,21.363,"IS",21.232,21.363
"220","sp",21.363,21.412,"sp",21.363,21.412
"221","B",21.412,21.473,"BAWN",21.412,21.813
"222","AO1",21.473,21.643,"BAWN",21.412,21.813
"223","N",21.643,21.813,"BAWN",21.412,21.813
"224","sp",21.813,22.263,"sp",21.813,22.263
"225","B",22.263,22.313,"BAY'D",22.263,22.572
"226","EY1",22.313,22.502,"BAY'D",22.263,22.572
"227","D",22.502,22.572,"BAY'D",22.263,22.572
"228","sp",22.572,22.683,"sp",22.572,22.683
"229","DH",22.683,22.723,"THE",22.683,22.773
"230","AH0",22.723,22.773,"THE",22.683,22.773
"231","W",22.773,22.903,"WORD",22.773,23.002
"232","ER1",22.903,22.943,"WORD",22.773,23.002
"233","D",22.943,23.002,"WORD",22.773,23.002
"234","IH1",23.002,23.033,"IS",23.002,23.143
"235","Z",23.033,23.143,"IS",23.002,23.143
"236","sp",23.143,23.173,"sp",23.143,23.173
"237","B",23.173,23.193,"BAY'D",23.173,23.453
"238","EY1",23.193,23.423,"BAY'D",23.173,23.453
"239","D",23.423,23.453,"BAY'D",23.173,23.453
"240","sp",23.453,23.752,"sp",23.453,23.752
"241","B",23.752,23.813,"BEAD",23.752,24.013
"242","IY1",23.813,23.953,"BEAD",23.752,24.013
"243","D",23.953,24.013,"BEAD",23.752,24.013
"244","DH",24.013,24.053,"THE",24.013,24.103
"245","AH0",24.053,24.103,"THE",24.013,24.103
"246","W",24.103,24.232,"WORD",24.103,24.363
"247","ER1",24.232,24.303,"WORD",24.103,24.363
"248","D",24.303,24.363,"WORD",24.103,24.363
