"vowel","start","end","word","wstart","wend"
"ER1",0.308,0.528,"BIRD",0.258,0.618
"ER1",1.378,1.628,"BIRD",1.318,2.167
"IY1",2.528,2.878,"BEAN",2.478,2.918
"IY1",3.648,3.918,"BEAN",3.598,3.958
"AE1",4.378,4.678,"BAD",4.358,4.708
"AE1",5.468,5.748,"BAD",5.438,5.798
"UW1",6.248,6.438,"BOO'D",6.198,6.598
"UW1",7.178,7.378,"BOO'D",7.128,7.478
"EY1",8.148,8.437,"BANE",7.508,8.588
"EY1",9.248,9.488,"BANE",9.207,9.568
"AO1",10.308,10.547,"HAW'D",10.168,10.648
"AO1",11.117,11.398,"BOD",11.088,11.468
"AE1",11.947,12.267,"BAN",11.928,12.348
"AE1",13.078,13.408,"BAN",13.058,13.508
"OW1",13.787,14.037,"BODE",13.728,14.588
"OW1",14.767,15.058,"HOED",14.658,15.098
"OW1",15.908,16.098,"HOED",15.818,16.187
"IH1",16.428,16.657,"BID",16.398,16.698
"IH1",17.578,17.788,"BID",17.558,17.928
"UH1",18.578,18.798,"HOOD",18.378,18.898
"UH1",20.038,20.178,"HOOD",19.708,20.268
"IH1",20.518,20.738,"BIN",20.488,20.948
"IH1",21.518,21.718,"BIN",21.497,21.848
"AE1",22.258,22.488,"HAD",22.058,22.558
"AE1",23.178,23.458,"HAD",23.028,23.477
"UW1",23.928,24.118,"WHO'D",23.738,24.288
"AE1",24.567,24.888,"BAD",24.548,24.928
"ER1",25.378,25.678,"HEARD",25.198,25.778
"ER1",26.538,26.778,"HEARD",26.398,26.868
"IH1",27.308,27.428,"HID",27.168,27.518
"IH1",28.378,28.508,"HID",28.157,28.727
"IY1",29.218,29.477,"BEAD",29.178,29.587
"IY1",30.198,30.418,"BEAD",30.148,30.518
"OW1",31.038,31.368,"BODE",31.008,31.468
"OW1",32.238,32.438,"BODE",32.188,32.488
"UH1",33.108,33.288,"HOOD",33.038,33.448
"AH1",33.988,34.308,"HUD",33.958,34.438
"AH1",35.338,35.478,"HUD",35.188,35.578
"AH1",35.878,36.128,"BUD",35.858,36.308
"UW1",36.738,36.958,"BOO'D",36.578,37.098
"UH1",37.738,37.898,"STOOD",37.408,38.038
"IH1",39.008,39.238,"BID",38.988,39.358
"AO1",39.878,40.138,"BOD",39.828,40.198
"AO1",41.118,41.408,"BOD",41.078,41.738
"EH1",42.238,42.388,"HEAD",42.038,42.498
"EH1",43.118,43.278,"HEAD",43.028,43.348
"AE1",43.778,43.988,"HAD",43.558,44.058
"EY1",44.688,44.968,"BAY'D",44.668,45.008
"EY1",45.628,45.898,"BAY'D",45.608,45.978
"EY1",46.528,46.758,"HEY'D",46.378,46.838
"IH1",47.448,47.598,"HID",47.248,47.738
"AH1",48.228,48.388,"HUD",48.008,48.488
"AH1",48.788,48.968,"BUN",48.758,49.088
"AH1",49.618,49.788,"BUN",49.588,50.048
"IY1",50.538,50.698,"HEED",50.338,50.778
"IY1",51.428,51.588,"HEED",51.398,51.668
"IY1",52.268,52.618,"HEED",51.998,52.658
"UH1",53.398,53.518,"STOOD",53.098,53.578
"UH1",54.348,54.508,"STOOD",54.008,54.608
"EY1",55.148,55.338,"HEY'D",54.938,55.448
"EY1",56.118,56.318,"HEY'D",56.018,56.348
"IY1",56.748,56.938,"BEAD",56.698,57.018
"EH1",57.708,57.828,"HEAD",57.458,57.878
"ER1",58.148,58.368,"BIRD",58.088,58.428
"AH1",58.768,58.978,"BUD",58.748,59.058
"AH1",59.728,59.928,"BUD",59.698,60.128
"AO1",60.458,60.718,"BAWN",60.418,60.858
"AO1",61.418,61.648,"BAWN",61.368,61.868
"EY1",62.358,62.658,"BAY'D",62.328,62.698
"EH1",63.348,63.538,"BED",63.328,63.638
"EH1",64.048,64.268,"BEN",64.028,64.458
"EH1",64.988,65.228,"BEN",64.968,65.348
"OW1",65.978,66.198,"HOED",65.798,66.358
"UW1",66.768,66.968,"BOON",66.708,67.098
"UW1",67.598,67.818,"BOON",67.558,67.988
"AO1",68.628,68.848,"HAW'D",68.448,68.868
"AO1",69.628,69.838,"HAW'D",69.428,69.888
"ER1",70.318,70.578,"BURN",70.258,70.698
"ER1",71.458,71.708,"BURN",71.398,71.928
"UW1",72.488,72.718,"WHO'D",72.328,72.828
"UW1",73.548,73.718,"WHO'D",73.408,73.848
"ER1",74.278,74.488,"HEARD",73.958,74.588
"OW1",75.138,75.418,"BONE",75.108,75.498
"OW1",76.018,76.268,"BONE",75.968,76.338
"EH1",76.648,76.858,"BED",76.628,76.918
"EH1",77.638,77.838,"BED",77.608,78.068
