"vowel","start","end","word","wstart","wend"
"AO1",1.463,1.773,"HAW'D",1.283,1.863
"AO1",3.743,4.043,"HAW'D",3.623,4.123
"IY1",4.673,4.863,"HEED",4.543,4.883
"OW1",5.493,5.783,"BODE",5.443,5.823
"OW1",6.613,6.773,"BODE",6.553,6.843
"EY1",7.313,7.643,"HEY'D",7.183,7.693
"IY1",8.273,8.533,"BEAD",8.223,8.623
"IY1",9.543,9.773,"BEAD",9.492,9.853
"AH1",10.162,10.463,"HUD",10.123,10.632
"AH1",11.613,11.802,"HUD",11.543,11.902
"ER1",12.273,12.482,"BIRD",12.213,12.603
"IY1",12.892,13.123,"BEAD",12.853,13.213
"UH1",13.923,14.093,"STOOD",13.623,14.162
"IY1",14.533,14.783,"HEED",14.423,14.892
"IY1",15.662,15.873,"HEED",15.513,15.943
"IY1",16.353,16.572,"BEAN",16.302,16.703
"IY1",17.603,17.842,"BEAN",17.553,17.913
"AO1",18.423,18.693,"BOD",18.393,18.813
"UH1",19.283,19.443,"HOOD",19.123,19.553
"UW1",20.283,20.473,"WHO'D",20.193,20.583
"UW1",21.522,21.682,"WHO'D",21.393,21.823
"UW1",22.383,22.553,"WHO'D",22.293,22.612
"OW1",23.123,23.353,"BONE",23.063,23.513
"OW1",24.103,24.333,"BONE",24.013,24.443
"UW1",24.963,25.213,"BOO'D",24.903,25.333
"EH1",25.603,25.783,"BED",25.553,25.853
"AH1",26.063,26.333,"HUD",26.033,26.403
"AO1",26.772,27.033,"BAWN",26.723,27.223
"AO1",27.913,28.173,"BAWN",27.813,28.233
"EY1",28.493,28.763,"BAY'D",28.452,28.873
"IH1",29.202,29.293,"HID",29.003,29.423
"IH1",30.243,30.362,"HID",30.163,30.452
"AE1",30.733,31.033,"BAD",30.693,31.053
"EY1",31.413,31.603,"HEY'D",31.233,31.783
"EY1",32.493,32.673,"HEY'D",32.432,32.743
"AH1",33.123,33.313,"BUD",33.083,33.383
"UW1",33.763,33.993,"BOON",33.693,34.163
"UW1",34.933,35.153,"BOON",34.823,35.243
"UH1",35.903,36.113,"STOOD",35.573,36.173
"UH1",37.173,37.343,"STOOD",36.883,37.423
"ER1",37.673,37.883,"BIRD",37.623,37.993
"ER1",39.113,39.293,"BIRD",39.003,39.343
"AH1",39.683,39.873,"BUD",39.633,39.993
"AH1",40.793,40.983,"BUD",40.753,41.033
"EY1",41.323,41.603,"BAY'D",41.283,41.653
"EY1",42.543,42.783,"BAY'D",42.493,42.873
"IH1",43.243,43.423,"BIN",43.223,43.643
"IH1",44.373,44.563,"BIN",44.353,44.713
"AE1",45.003,45.323,"HAD",44.963,45.513
"AE1",46.163,46.393,"HAD",46.053,46.463
"AH1",46.683,46.873,"BUN",46.643,47.103
"AH1",47.823,47.993,"BUN",47.763,48.193
"ER1",48.513,48.733,"HEARD",48.383,48.853
"EH1",49.183,49.743,"HEAD",49.073,49.803
"AO1",50.273,50.573,"HAW'D",50.113,50.693
"OW1",50.993,51.253,"HOED",50.893,51.373
"IH1",51.713,51.923,"BID",51.693,51.993
"IH1",52.843,53.013,"BID",52.783,53.123
"AE1",53.343,53.633,"BAN",53.323,53.833
"AE1",54.333,54.643,"BAN",54.303,54.743
"UW1",55.173,55.493,"BOO'D",55.133,55.523
"UW1",56.313,56.583,"BOO'D",56.263,56.663
"ER1",57.213,57.423,"HEARD",57.063,57.613
"ER1",58.263,58.453,"HEARD",58.213,58.583
"OW1",58.763,59.053,"BODE",58.713,59.183
"IH1",59.433,59.603,"HID",59.283,59.723
"EY1",60.133,60.423,"BANE",60.083,60.543
"EY1",61.253,61.483,"BANE",61.203,61.633
"ER1",61.733,61.973,"BURN",61.683,62.143
"ER1",62.863,63.093,"BURN",62.803,63.223
"AE1",63.283,63.633,"BAD",63.263,63.683
"AE1",64.373,64.643,"BAD",64.343,64.673
"AO1",65.013,65.303,"BOD",64.963,65.363
"AO1",66.063,66.283,"BOD",66.013,66.393
"EH1",66.793,66.963,"HEAD",66.583,67.103
"EH1",67.713,67.953,"HEAD",67.683,68.053
"OW1",68.313,68.583,"HOED",68.213,68.763
"OW1",69.393,69.693,"HOED",69.353,69.783
"EH1",70.153,70.353,"BEN",70.103,70.503
"EH1",71.423,71.583,"BEN",71.383,71.643
"IH1",72.153,72.353,"BID",72.103,72.483
"AE1",72.773,73.013,"HAD",72.613,73.103
"UH1",73.313,73.503,"HOOD",73.173,73.663
"UH1",74.243,74.423,"HOOD",74.183,74.483
"EH1",74.703,74.913,"BED",74.663,75.053
"EH1",75.703,75.913,"BED",75.663,76.013
