"vowel","start","end","word","wstart","wend"
"EY1",0.412,0.751,"BANE",0.142,1.012
"EY1",2.061,2.362,"BANE",2.041,3.032
"AH1",3.332,3.532,"BUN",3.292,3.842
"AH1",4.862,5.042,"BUN",4.842,5.142
"UW1",5.832,6.112,"BOON",5.772,6.322
"UW1",7.732,7.952,"BOON",7.662,8.062
"ER1",8.632,8.982,"HEARD",8.552,9.071
"ER1",10.282,10.532,"HEARD",10.122,10.552
"OW1",11.091,11.411,"HOED",10.991,11.532
"OW1",12.841,13.122,"HOED",12.712,13.222
"EY1",13.931,14.282,"BAY'D",13.661,14.431
"EY1",15.761,16.081,"BAY'D",15.732,16.232
"AH1",16.602,16.881,"BUD",16.411,16.982
"AH1",18.242,18.492,"BUD",18.192,18.532
"IY1",19.002,19.282,"BEAD",18.782,19.392
"IY1",20.682,20.992,"BEAD",20.642,21.082
"IY1",21.302,21.631,"BEAN",21.282,21.922
"IY1",22.951,23.252,"BEAN",22.932,23.312
"UW1",24.262,24.562,"BOO'D",23.592,24.692
"UW1",25.912,26.232,"BOO'D",25.852,26.302
"EH1",26.732,26.932,"BEN",26.482,27.212
"EH1",28.451,28.662,"BEN",28.412,29.352
"AO1",29.852,30.182,"BOD",29.631,30.242
"AO1",31.471,31.782,"BOD",31.432,31.812
"IH1",32.352,32.552,"HID",32.202,32.612
"IH1",33.862,34.112,"HID",33.722,34.142
"IY1",34.612,34.852,"HEED",34.402,34.882
"IY1",36.182,36.432,"HEED",36.052,36.452
"EY1",37.792,38.042,"HEY'D",37.682,38.122
"EY1",39.402,39.662,"HEY'D",39.292,39.782
"ER1",40.312,40.652,"BIRD",40.102,40.672
"ER1",41.922,42.272,"BIRD",41.882,42.332
"UH1",42.972,43.242,"STOOD",42.682,43.342
"UH1",44.682,44.982,"STOOD",44.462,45.022
"EH1",45.522,45.842,"BED",45.272,45.872
"EH1",47.182,47.482,"BED",47.152,47.512
"EH1",47.912,48.182,"HEAD",47.782,48.262
"EH1",49.482,49.792,"HEAD",49.382,49.892
"OW1",50.212,50.562,"BODE",50.172,50.672
"OW1",51.892,52.252,"BODE",51.862,52.362
"AE1",52.832,53.162,"BAN",52.812,53.372
"AE1",54.382,54.682,"BAN",54.342,54.822
"IH1",55.152,55.342,"BIN",54.962,55.642
"IH1",56.742,56.902,"BIN",56.702,56.972
"OW1",57.832,58.132,"BONE",57.622,58.302
"OW1",59.482,59.782,"BONE",59.442,60.462
"AE1",61.082,61.372,"HAD",60.862,61.432
"AE1",62.672,62.992,"HAD",62.542,63.012
"IH1",63.822,64.112,"BID",63.642,64.182
"IH1",65.452,65.742,"BID",65.422,65.782
"ER1",66.162,66.502,"BURN",65.962,66.622
"ER1",67.842,68.192,"BURN",67.812,68.242
"UW1",69.182,69.492,"WHO'D",69.072,69.612
"UW1",70.892,71.232,"WHO'D",70.712,71.282
"AO1",71.742,72.052,"HAW'D",71.632,72.172
"AO1",73.412,73.722,"HAW'D",73.252,73.852
"AE1",74.182,74.582,"BAD",74.152,74.642
"AE1",75.682,76.062,"BAD",75.662,76.112
"AH1",76.632,76.962,"HUD",76.572,76.982
"AH1",78.222,78.482,"HUD",78.102,78.512
"UH1",78.922,79.152,"HOOD",78.812,79.282
"UH1",80.492,80.752,"HOOD",80.422,80.782
"AO1",81.352,81.682,"BAWN",81.332,81.872
"AO1",82.942,83.252,"BAWN",82.902,83.412
