"vowel","start","end","word","wstart","wend"
"AO1",0.673,0.943,"BAWN",0.543,1.293
"AO1",2.953,3.213,"BAWN",2.893,3.363
"UW1",4.043,4.433,"BOO'D",3.873,4.523
"UW1",5.883,6.143,"BOO'D",5.803,6.223
"UH1",7.033,7.273,"HOOD",6.943,7.363
"UH1",8.603,8.792,"HOOD",8.522,8.823
"OW1",9.362,9.683,"HOED",9.302,9.743
"OW1",11.263,11.522,"HOED",11.112,11.563
"AO1",12.093,12.393,"BOD",11.973,12.442
"AO1",13.973,14.253,"BOD",13.942,14.313
"AH1",14.823,15.032,"BUD",14.683,15.073
"AH1",16.363,16.603,"BUD",16.342,16.633
"EH1",17.193,17.433,"BED",17.072,17.553
"EH1",18.993,19.183,"BED",18.893,19.252
"ER1",19.993,20.322,"BURN",19.743,20.403
"ER1",22.213,22.513,"BURN",22.153,22.553
"EY1",23.213,23.493,"BANE",23.083,23.633
"EY1",24.963,25.263,"BANE",24.903,25.342
"UW1",26.393,26.693,"WHO'D",26.173,26.752
"UW1",28.203,28.443,"WHO'D",28.092,28.523
"AO1",29.203,29.533,"HAW'D",29.063,29.603
"AO1",31.053,31.263,"HAW'D",30.923,31.363
"EH1",31.973,32.143,"HEAD",31.842,32.223
"EH1",33.543,33.653,"HEAD",33.413,33.713
"EH1",34.393,34.573,"BEN",34.253,34.683
"EH1",36.023,36.213,"BEN",35.993,36.323
"AH1",37.143,37.313,"BUN",37.003,37.463
"AH1",38.743,38.913,"BUN",38.723,39.083
"IH1",40.213,40.353,"HID",40.033,40.433
"IH1",41.873,41.983,"HID",41.753,42.023
"OW1",42.613,42.963,"BODE",42.563,43.003
"OW1",44.203,44.463,"BODE",44.163,44.513
"ER1",45.353,45.553,"HEARD",45.213,45.673
"ER1",46.983,47.133,"HEARD",46.823,47.173
"IY1",48.073,48.363,"HEED",47.863,48.453
"IY1",49.963,50.213,"HEED",49.933,50.333
"EY1",51.093,51.443,"BAY'D",50.963,51.593
"EY1",53.023,53.333,"BAY'D",52.933,53.403
"UH1",54.113,54.313,"STOOD",53.923,54.393
"UH1",55.593,55.773,"STOOD",55.393,55.803
"IY1",56.583,56.873,"BEAD",56.433,56.933
"IY1",58.353,58.603,"BEAD",58.263,58.683
"AE1",59.533,59.873,"BAD",59.433,59.903
"AE1",61.263,61.603,"BAD",61.233,61.653
"OW1",62.413,62.723,"BONE",62.293,62.813
"OW1",64.053,64.383,"BONE",63.973,64.493
"EY1",64.903,65.243,"HEY'D",64.763,65.383
"EY1",66.763,67.043,"HEY'D",66.653,67.123
"IY1",67.763,68.063,"BEAN",67.633,68.193
"IY1",69.713,69.983,"BEAN",69.663,70.093
"IH1",70.553,70.763,"BID",70.443,70.883
"IH1",72.223,72.403,"BID",72.133,72.443
"AH1",72.793,72.943,"HUD",72.703,73.053
"AH1",74.833,74.973,"HUD",74.723,75.053
"ER1",75.713,76.003,"BIRD",75.573,76.053
"ER1",77.223,77.463,"BIRD",77.143,77.483
"AE1",78.163,78.373,"HAD",77.993,78.403
"AE1",79.743,79.923,"HAD",79.543,79.943
"IH1",80.503,80.703,"BIN",80.383,80.843
"IH1",82.273,82.423,"BIN",82.223,82.803
"UW1",83.323,83.613,"BOON",83.213,83.683
"UW1",84.883,85.153,"BOON",84.843,85.603
