"vowel","start","end","word","wstart","wend"
"AH1",0.334,0.515,"BUN",0.315,0.695
"AH1",1.284,1.474,"BUN",1.215,1.665
"OW1",2.135,2.365,"BODE",2.085,2.415
"OW1",3.075,3.325,"BODE",2.995,3.455
"IH1",3.825,4.105,"BIN",3.805,4.135
"IH1",4.705,4.855,"BIN",4.655,5.065
"AE1",5.435,5.715,"BAD",5.415,5.775
"UW1",6.175,6.265,"WHO'D",6.015,6.395
"UW1",8.125,8.245,"WHO'D",8.035,8.294
"EH1",8.695,8.834,"BED",8.654,8.895
"EH1",9.404,9.574,"BED",9.355,9.705
"IY1",10.125,10.254,"HEED",9.975,10.285
"IY1",10.885,11.074,"HEED",10.824,11.164
"UW1",11.625,11.795,"BOO'D",11.594,11.865
"UW1",12.414,12.615,"BOO'D",12.334,12.654
"AO1",13.055,13.215,"HAW'D",12.935,13.285
"AO1",13.824,14.015,"HAW'D",13.754,14.055
"UW1",14.344,14.535,"BOON",14.285,14.574
"UW1",15.145,15.365,"BOON",15.094,15.494
"AO1",15.785,16.035,"BOD",15.734,16.145
"EH1",16.864,17.015,"HEAD",16.375,17.095
"UW1",17.395,17.625,"WHO'D",17.095,17.765
"AE1",18.125,18.335,"BAD",18.085,18.384
"AE1",18.875,19.114,"BAD",18.805,19.185
"UH1",19.475,19.614,"HOOD",19.364,19.735
"OW1",20.255,20.395,"HOED",20.055,20.454
"OW1",21.044,21.215,"HOED",20.945,21.294
"IY1",21.595,21.755,"BEAN",21.555,21.815
"IY1",22.285,22.465,"BEAN",22.225,22.505
"EY1",22.995,23.165,"BAY'D",22.815,23.235
"EY1",23.745,23.965,"BAY'D",23.665,24.085
"ER1",24.285,24.425,"BURN",24.235,24.524
"ER1",25.075,25.294,"BURN",24.975,25.384
"IH1",26.085,26.255,"HID",25.925,26.345
"UH1",27.134,27.274,"STOOD",26.765,27.335
"UH1",27.915,28.085,"STOOD",27.735,28.185
"ER1",28.774,28.884,"BIRD",28.715,28.985
"ER1",29.544,29.725,"BIRD",29.445,29.855
"UW1",30.315,30.675,"BOO'D",30.274,30.745
"ER1",31.195,31.454,"BIRD",31.134,31.505
"EY1",31.975,32.114,"HEY'D",31.835,32.175
"EY1",32.725,32.915,"HEY'D",32.675,32.965
"IY1",33.385,33.565,"BEAD",33.345,33.615
"IY1",34.095,34.335,"BEAD",34.035,34.445
"OW1",34.825,34.995,"BONE",34.775,35.025
"OW1",35.575,35.845,"BONE",35.485,35.925
"EH1",36.265,36.515,"BED",36.235,36.585
"AH1",36.905,37.185,"BUD",36.875,37.265
"IY1",37.695,37.925,"HEED",37.535,38.015
"UH1",38.605,38.815,"STOOD",38.385,38.915
"AE1",39.115,39.305,"BAN",39.095,39.365
"AE1",39.905,40.175,"BAN",39.865,40.305
"EH1",40.535,40.625,"HEAD",40.425,40.695
"EH1",41.265,41.405,"HEAD",41.175,41.535
"AE1",41.925,42.215,"HAD",41.785,42.335
"AO1",42.665,42.855,"BOD",42.625,42.905
"AO1",43.395,43.605,"BOD",43.305,43.685
"AO1",44.045,44.235,"BAWN",44.005,44.295
"AO1",44.805,45.035,"BAWN",44.735,45.205
"ER1",45.535,45.655,"HEARD",45.365,45.755
"ER1",46.245,46.455,"HEARD",46.205,46.525
"AE1",46.935,47.075,"HAD",46.765,47.125
"AE1",47.665,47.885,"HAD",47.585,47.935
"EY1",48.265,48.435,"BANE",48.215,48.505
"EY1",49.005,49.235,"BANE",48.935,49.375
"AO1",49.735,49.995,"HAW'D",49.595,50.075
"UH1",50.575,50.645,"HOOD",50.385,50.725
"UH1",51.295,51.435,"HOOD",51.205,51.525
"IH1",51.845,52.005,"BID",51.825,52.085
"IH1",52.615,52.775,"BID",52.535,52.875
"AH1",53.485,53.655,"HUD",53.375,53.825
"IH1",54.325,54.425,"HID",54.175,54.475
"IH1",55.045,55.225,"HID",54.995,55.345
"OW1",55.725,55.965,"HOED",55.595,56.135
"ER1",56.545,56.835,"HEARD",56.415,56.925
"IH1",57.205,57.505,"BID",57.185,57.655
"OW1",57.845,58.175,"BODE",57.795,58.305
"EY1",58.525,58.795,"HEY'D",58.415,58.905
"AH1",59.225,59.385,"BUD",59.195,59.465
"AH1",59.945,60.135,"BUD",59.855,60.235
"EH1",60.545,60.705,"BEN",60.525,60.805
"EH1",61.305,61.495,"BEN",61.245,61.635
"IY1",61.895,62.215,"BEAD",61.845,62.325
"EY1",62.475,62.825,"BAY'D",62.455,62.935
"AH1",63.415,63.485,"HUD",63.305,63.535
"AH1",64.055,64.215,"HUD",63.975,64.345
