"vowel","start","end","word","wstart","wend"
"OW1",0.193,0.483,"BODE",0.163,0.523
"OW1",1.453,1.703,"BODE",1.402,1.833
"IY1",2.453,2.653,"HEED",2.283,2.683
"IY1",3.643,3.793,"HEED",3.473,3.933
"EY1",4.423,4.673,"BAY'D",4.403,4.793
"EY1",6.143,6.373,"BAY'D",6.113,6.483
"IH1",7.193,7.343,"HID",7.113,7.373
"IH1",8.452,8.583,"HID",8.302,8.723
"AE1",9.292,9.493,"HAD",9.143,9.522
"AE1",10.552,10.723,"HAD",10.403,10.833
"AO1",11.382,11.653,"BAWN",11.343,11.782
"AO1",12.663,12.913,"BAWN",12.632,13.013
"EH1",13.382,13.593,"BEN",13.353,13.772
"EH1",14.723,14.913,"BEN",14.692,15.103
"OW1",15.632,15.903,"BODE",15.593,15.942
"OW1",17.243,17.502,"BODE",17.203,17.572
"UW1",18.033,18.252,"WHO'D",17.982,18.283
"UW1",19.303,19.493,"WHO'D",19.213,19.623
"ER1",19.933,20.173,"HEARD",19.893,20.203
"ER1",21.153,21.373,"HEARD",21.053,21.502
"AE1",21.912,22.183,"BAD",21.893,22.263
"AE1",23.123,23.363,"BAD",23.083,23.463
"OW1",24.162,24.443,"HOED",24.113,24.502
"OW1",25.773,26.002,"HOED",25.673,26.123
"AE1",26.752,26.973,"HAD",26.623,27.002
"AE1",28.072,28.283,"HAD",27.883,28.412
"EY1",29.053,29.232,"HEY'D",28.963,29.293
"EY1",30.193,30.443,"HEY'D",30.103,30.473
"IH1",30.903,31.072,"BIN",30.883,31.232
"IH1",31.933,32.103,"BIN",31.912,32.253
"OW1",32.783,33.063,"BONE",32.733,33.133
"OW1",33.893,34.163,"BONE",33.843,34.253
"EH1",34.763,34.973,"BED",34.723,35.013
"EH1",35.803,36.013,"BED",35.773,36.153
"UH1",36.883,37.073,"STOOD",36.673,37.103
"UH1",37.973,38.133,"STOOD",37.783,38.263
"IH1",38.733,38.923,"BID",38.713,39.103
"IH1",39.913,40.093,"BID",39.883,40.233
"IY1",40.793,41.013,"BEAN",40.753,41.123
"IY1",41.893,42.113,"BEAN",41.813,42.203
"UH1",42.713,42.873,"HOOD",42.663,42.903
"UH1",43.753,43.913,"HOOD",43.673,44.053
"EH1",44.463,44.613,"HEAD",44.343,44.653
"EH1",45.523,45.683,"HEAD",45.423,45.833
"AH1",46.333,46.503,"BUN",46.283,46.653
"AH1",47.503,47.683,"BUN",47.463,47.813
"UW1",48.353,48.593,"BOON",48.303,48.683
"UW1",49.403,49.633,"BOON",49.373,49.773
"AE1",50.183,50.443,"BAN",50.163,50.563
"AE1",51.333,51.563,"BAN",51.293,51.713
"AH1",52.253,52.423,"HUD",52.163,52.443
"AH1",53.343,53.513,"HUD",53.223,53.633
"ER1",54.383,54.633,"BIRD",54.333,54.663
"ER1",55.593,55.823,"BIRD",55.553,55.913
"IY1",56.333,56.563,"BEAD",56.313,56.583
"IY1",57.603,57.823,"BEAD",57.583,57.923
"AH1",58.593,58.803,"BUD",58.563,58.823
"AH1",59.693,59.883,"BUD",59.643,60.013
"ER1",60.463,60.713,"BURN",60.433,60.833
"ER1",61.663,61.893,"BURN",61.613,62.013
"UW1",62.693,62.873,"BOO'D",62.623,62.983
"UW1",63.763,63.963,"BOO'D",63.733,64.093
"EY1",64.563,64.803,"BANE",64.523,64.923
"EY1",65.593,65.813,"BANE",65.573,65.943
