"vowel","start","end","word","wstart","wend"
"UH1",0.638,0.808,"STOOD",0.378,0.897
"EY1",1.318,1.608,"BAY'D",1.277,1.727
"UW1",2.028,2.288,"BOO'D",1.967,2.408
"OW1",2.688,2.918,"BODE",2.638,2.948
"OW1",4.838,5.078,"BODE",4.778,5.118
"OW1",5.448,5.778,"BONE",5.418,5.808
"OW1",6.878,7.178,"BONE",6.838,7.208
"EH1",7.608,7.788,"HEAD",7.498,7.878
"UH1",8.317,8.487,"HOOD",8.188,8.597
"IY1",9.068,9.228,"BEAD",8.597,9.367
"IY1",9.927,10.128,"HEED",9.867,10.187
"AO1",10.548,10.777,"BOD",10.507,10.847
"AO1",11.837,12.087,"BOD",11.798,12.168
"ER1",12.638,12.908,"BURN",12.517,13.007
"ER1",13.937,14.158,"BURN",13.888,14.238
"AH1",14.697,14.888,"BUN",14.308,15.038
"AH1",16.208,16.398,"BUN",16.168,16.538
"EH1",16.868,17.137,"BED",16.848,17.198
"EH1",18.108,18.297,"BED",18.067,18.348
"EH1",18.817,19.028,"HEAD",18.678,19.108
"EH1",19.907,20.067,"HEAD",19.868,20.137
"AE1",20.498,20.758,"HAD",20.378,20.817
"AE1",22.157,22.368,"HAD",22.088,22.468
"AO1",22.688,23.008,"HAW'D",22.598,23.058
"AO1",24.067,24.368,"HAW'D",23.918,24.438
"AE1",24.878,25.108,"HAD",24.768,25.218
"UW1",25.558,25.817,"BOO'D",25.407,25.918
"UW1",26.907,27.137,"BOO'D",26.858,27.268
"IH1",27.528,27.678,"HID",27.418,27.778
"IH1",27.977,28.178,"BIN",27.878,28.308
"IH1",29.137,29.328,"BIN",29.108,29.458
"IH1",29.708,29.958,"BID",29.688,30.078
"IH1",31.208,31.407,"BID",31.178,31.498
"ER1",31.808,32.088,"BIRD",31.748,32.208
"AE1",32.538,32.838,"BAD",32.508,32.898
"EY1",33.168,33.408,"BAY'D",33.048,33.498
"EY1",34.338,34.568,"BAY'D",34.288,34.668
"ER1",35.058,35.388,"BIRD",34.988,35.438
"ER1",36.218,36.468,"BIRD",36.158,36.488
"EH1",36.698,36.928,"BEN",36.528,37.048
"EH1",37.918,38.118,"BEN",37.898,38.248
"AH1",38.708,38.938,"BUD",38.518,39.058
"AH1",39.288,39.558,"HUD",39.258,39.678
"AO1",39.978,40.418,"BAWN",39.928,40.448
"AO1",42.078,42.338,"BAWN",42.038,42.538
"AE1",42.698,43.008,"BAN",42.678,43.108
"AE1",44.048,44.328,"BAN",44.028,44.408
"UH1",44.718,44.908,"HOOD",44.628,44.938
"UH1",45.958,46.118,"HOOD",45.858,46.398
"EH1",46.578,46.818,"BED",46.558,46.888
"IH1",47.148,47.378,"BID",47.128,47.458
"ER1",47.778,48.028,"HEARD",47.638,48.158
"AH1",48.478,48.708,"BUD",48.288,48.798
"AH1",49.718,49.968,"BUD",49.678,50.008
"EY1",50.418,50.668,"HEY'D",50.308,50.778
"EY1",51.868,52.118,"HEY'D",51.758,52.218
"UW1",52.538,52.738,"WHO'D",52.408,52.868
"AO1",53.078,53.408,"HAW'D",52.948,53.528
"UW1",53.788,54.198,"BOON",53.738,54.318
"UW1",55.068,55.818,"BOON",54.948,55.918
"OW1",56.098,56.378,"HOED",56.028,56.518
"OW1",57.448,57.758,"HOED",57.368,57.898
"AH1",58.188,58.488,"HUD",58.158,58.608
"AH1",59.508,59.728,"HUD",59.428,59.848
"EY1",60.168,60.458,"BANE",60.148,60.598
"EY1",61.498,61.788,"BANE",61.448,61.988
"IY1",62.658,62.948,"BEAD",62.638,63.038
"IY1",63.768,64.028,"BEAD",63.738,64.088
"UH1",64.878,65.088,"STOOD",64.658,65.178
"UH1",66.228,66.408,"STOOD",65.998,66.508
"IH1",66.878,67.108,"HID",66.818,67.238
"IH1",68.178,68.358,"HID",68.048,68.488
"IY1",68.978,69.198,"HEED",68.898,69.308
"IY1",70.228,70.468,"HEED",70.138,70.598
"OW1",70.728,70.968,"BODE",70.668,71.128
"ER1",71.408,71.688,"HEARD",71.268,71.788
"ER1",72.738,73.018,"HEARD",72.648,73.058
"UW1",73.428,73.678,"WHO'D",73.238,73.848
"UW1",75.808,75.988,"WHO'D",75.728,76.068
"EY1",76.378,76.648,"HEY'D",76.278,76.728
"AE1",77.308,77.608,"BAD",77.288,77.698
"AE1",78.508,78.838,"BAD",78.488,78.908
"IY1",79.278,79.548,"BEAN",79.248,79.708
"IY1",80.748,80.998,"BEAN",80.718,81.168
"AO1",81.328,81.598,"BOD",81.278,81.718
"OW1",81.998,82.308,"HOED",81.918,82.418
