"vowel","start","end","word","wstart","wend"
"AE1",0.271,0.552,"BAN",0.242,0.672
"AE1",1.142,1.422,"BAN",1.101,1.532
"AO1",1.862,2.131,"BOD",1.812,2.232
"EH1",2.692,2.852,"HEAD",2.592,2.982
"AH1",3.282,3.452,"BUN",3.252,3.572
"AH1",4.132,4.302,"BUN",4.102,4.452
"EY1",4.892,5.152,"HEY'D",4.812,5.252
"OW1",5.482,5.732,"HOED",5.452,5.832
"OW1",6.552,6.772,"HOED",6.512,6.822
"AO1",7.192,7.422,"HAW'D",7.122,7.542
"IY1",7.822,8.052,"HEED",7.702,8.152
"AE1",8.472,8.761,"HAD",8.351,8.861
"AE1",9.431,9.662,"HAD",9.382,9.761
"UW1",10.132,10.372,"BOO'D",10.072,10.511
"AH1",10.751,11.001,"BUD",10.722,11.122
"AH1",11.722,11.921,"HUD",11.671,12.031
"IY1",12.501,12.742,"HEED",12.312,12.882
"IY1",13.511,13.732,"HEED",13.412,13.832
"ER1",14.251,14.521,"HEARD",14.222,14.601
"UH1",14.992,15.212,"HOOD",14.931,15.332
"UH1",15.921,16.111,"HOOD",15.892,16.232
"AH1",16.582,16.842,"BUD",16.531,16.972
"AH1",17.542,17.762,"BUD",17.502,17.891
"AE1",18.372,18.692,"BAD",18.342,18.812
"AE1",19.321,19.612,"BAD",19.252,19.692
"ER1",20.051,20.272,"HEARD",20.012,20.402
"ER1",20.902,21.132,"HEARD",20.862,21.182
"IH1",21.662,21.832,"HID",21.532,21.992
"IH1",22.492,22.672,"HID",22.422,22.821
"ER1",23.211,23.502,"BIRD",23.172,23.551
"OW1",23.862,24.112,"BONE",23.801,24.262
"OW1",24.792,25.051,"BONE",24.742,25.141
"EH1",25.612,25.801,"BEN",25.592,26.012
"EH1",26.542,26.702,"BEN",26.492,26.872
"UW1",27.211,27.461,"BOON",27.152,27.612
"UW1",28.192,28.231,"BOON",28.062,28.532
"AO1",28.862,29.141,"BOD",28.801,29.282
"AO1",29.792,30.051,"BOD",29.731,30.132
"UH1",30.641,30.852,"STOOD",30.412,31.032
"EH1",31.272,31.512,"BED",31.252,31.662
"EH1",32.182,32.412,"BED",32.162,32.552
"EY1",32.802,33.072,"BAY'D",32.772,33.202
"EY1",33.702,33.962,"BAY'D",33.662,34.062
"UW1",34.382,34.582,"WHO'D",34.322,34.732
"UW1",35.272,35.542,"WHO'D",35.222,35.592
"EY1",35.872,36.152,"HEY'D",35.762,36.282
"EY1",36.882,37.152,"HEY'D",36.822,37.222
"AO1",37.342,37.592,"BAWN",37.302,37.732
"AO1",38.222,38.502,"BAWN",38.162,38.612
"IH1",39.022,39.252,"BID",39.002,39.382
"IH1",39.962,40.222,"BID",39.942,40.382
"UW1",40.642,40.922,"WHO'D",40.592,41.032
"UH1",41.252,41.482,"HOOD",41.222,41.612
"IH1",41.752,42.022,"BID",41.732,42.142
"EY1",42.522,42.782,"BANE",42.472,42.922
"EY1",43.472,43.742,"BANE",43.372,43.842
"AE1",44.202,44.512,"BAD",44.152,44.582
"IY1",44.942,45.142,"BEAD",44.892,45.252
"IY1",45.732,45.942,"BEAD",45.682,46.052
"OW1",46.332,46.582,"BODE",46.282,46.682
"OW1",47.172,47.432,"BODE",47.122,47.532
"UH1",47.932,48.122,"STOOD",47.692,48.162
"UH1",48.852,49.022,"STOOD",48.672,49.172
"EH1",49.502,49.702,"HEAD",49.352,49.842
"EH1",50.432,50.592,"HEAD",50.362,50.672
"AO1",51.022,51.262,"HAW'D",50.962,51.392
"AO1",51.952,52.192,"HAW'D",51.882,52.282
"EH1",52.562,52.822,"BED",52.542,52.942
"OW1",53.402,53.662,"HOED",53.372,53.772
"AH1",53.982,54.332,"HUD",53.952,54.502
"AH1",55.042,55.202,"HUD",54.982,55.322
"IY1",55.572,55.892,"BEAD",55.522,55.932
"EY1",56.082,56.402,"BAY'D",56.062,56.502
"UW1",56.802,57.102,"BOO'D",56.742,57.232
"UW1",57.902,58.152,"BOO'D",57.852,58.272
"AE1",58.532,58.792,"HAD",58.422,58.912
"IH1",59.152,59.332,"BIN",59.132,59.502
"IH1",60.072,60.252,"BIN",60.052,60.422
"OW1",60.652,60.902,"BODE",60.592,61.012
"IY1",61.372,61.592,"BEAN",61.332,61.712
"IY1",62.362,62.592,"BEAN",62.272,62.692
"ER1",62.852,63.132,"BURN",62.802,63.222
"ER1",63.922,64.162,"BURN",63.822,64.262
"IH1",64.612,64.762,"HID",64.532,64.962
"ER1",65.192,65.432,"BIRD",65.142,65.572
"ER1",66.152,66.402,"BIRD",66.102,66.462
