"vowel","start","end","word","wstart","wend"
"AE1",0.719,0.969,"BAD",0.699,0.999
"AE1",1.828,2.129,"BAD",1.809,2.259
"EH1",2.699,2.899,"BEN",2.679,3.129
"EH1",3.759,3.949,"BEN",3.729,4.109
"AE1",4.469,4.649,"HAD",4.309,4.779
"AE1",5.509,5.699,"HAD",5.399,5.779
"AO1",6.399,6.689,"BOD",6.369,6.819
"AO1",7.529,7.789,"BOD",7.499,7.879
"AO1",8.199,8.479,"BAWN",8.159,8.649
"AO1",9.398,9.679,"BAWN",9.359,9.808
"EY1",10.189,10.478,"BANE",10.148,10.628
"EY1",11.218,11.509,"BANE",11.189,11.638
"OW1",11.839,12.119,"BODE",11.808,12.249
"OW1",12.869,13.119,"BODE",12.779,13.218
"AE1",13.439,13.749,"BAN",13.419,13.888
"AE1",14.429,14.718,"BAN",14.409,14.849
"IY1",15.189,15.369,"BEAD",15.128,15.478
"IY1",16.169,16.388,"BEAD",16.099,16.488
"UW1",16.959,17.229,"BOON",16.898,17.359
"UW1",18.179,18.429,"BOON",18.129,18.549
"EY1",19.168,19.379,"HEY'D",19.019,19.469
"EY1",20.249,20.438,"HEY'D",20.119,20.589
"EH1",21.049,21.209,"HEAD",20.918,21.258
"EH1",22.139,22.249,"HEAD",22.008,22.348
"UH1",22.929,23.139,"STOOD",22.679,23.239
"UH1",24.119,24.309,"STOOD",23.859,24.429
"AH1",24.739,24.909,"BUN",24.699,25.079
"AH1",25.859,26.039,"BUN",25.839,26.219
"IH1",26.519,26.679,"HID",26.399,26.709
"IH1",27.549,27.719,"HID",27.379,27.819
"UH1",28.219,28.379,"HOOD",28.039,28.409
"UH1",29.269,29.409,"HOOD",29.069,29.519
"IY1",29.918,30.188,"BEAN",29.879,30.329
"IY1",30.989,31.219,"BEAN",30.949,31.339
"ER1",31.909,32.159,"BURN",31.859,32.339
"ER1",33.449,33.669,"BURN",33.389,33.809
"IH1",34.129,34.299,"BIN",34.089,34.469
"IH1",35.179,35.299,"BIN",35.129,35.469
"EH1",35.729,35.929,"BED",35.689,35.999
"EH1",36.729,36.919,"BED",36.709,37.029
"ER1",37.459,37.629,"HEARD",37.279,37.689
"ER1",38.429,38.629,"HEARD",38.309,38.679
"AO1",39.269,39.479,"HAW'D",39.139,39.569
"AO1",40.279,40.499,"HAW'D",40.179,40.609
"EY1",41.049,41.329,"BAY'D",41.029,41.449
"EY1",42.099,42.349,"BAY'D",42.069,42.449
"AH1",42.669,42.879,"BUD",42.649,42.909
"AH1",43.629,43.809,"BUD",43.599,43.919
"IY1",44.459,44.609,"HEED",44.229,44.649
"IY1",45.499,45.659,"HEED",45.369,45.749
"OW1",46.349,46.559,"HOED",46.239,46.709
"OW1",47.309,47.519,"HOED",47.209,47.639
"UW1",48.259,48.429,"BOO'D",48.199,48.589
"UW1",49.209,49.429,"BOO'D",49.149,49.549
"OW1",50.029,50.329,"BONE",49.969,50.519
"OW1",51.119,51.349,"BONE",51.069,51.499
"AH1",51.889,52.059,"HUD",51.809,52.179
"AH1",52.949,53.099,"HUD",52.799,53.199
"UW1",53.879,54.009,"WHO'D",53.629,54.159
"UW1",54.929,55.109,"WHO'D",54.789,55.239
"IH1",55.779,55.989,"BID",55.759,56.029
"IH1",56.769,56.939,"BID",56.659,57.049
