"vowel","start","end","word","wstart","wend"
"EH1",0.443,0.613,"HEAD",0.303,0.743
"ER1",1.132,1.343,"BIRD",1.073,1.483
"AO1",1.813,2.083,"BOD",1.773,2.192
"IH1",2.553,2.753,"BID",2.533,2.933
"AO1",3.413,3.643,"HAW'D",3.323,3.733
"UH1",4.273,4.403,"HOOD",4.103,4.523
"UW1",4.953,5.113,"BOON",4.803,5.423
"UW1",6.263,6.443,"BOON",6.103,6.593
"ER1",6.963,7.183,"BIRD",6.913,7.263
"ER1",8.203,8.453,"BIRD",8.153,8.553
"EH1",8.752,9.002,"BED",8.732,9.172
"EH1",10.092,10.303,"BED",10.053,10.373
"AH1",10.973,11.162,"HUD",10.922,11.303
"AH1",11.693,11.933,"BUD",11.662,12.013
"AH1",12.703,13.002,"BUD",12.683,13.183
"IH1",13.513,13.662,"HID",13.393,13.803
"AO1",14.062,14.293,"HAW'D",13.933,14.453
"AO1",15.152,15.402,"HAW'D",15.053,15.523
"UW1",15.863,16.082,"BOO'D",15.793,16.223
"UW1",17.063,17.253,"BOO'D",16.913,17.443
"AO1",17.743,18.003,"BAWN",17.702,18.183
"AO1",18.913,19.153,"BAWN",18.772,19.313
"OW1",19.713,19.983,"BODE",19.663,20.112
"UW1",20.382,20.673,"BOO'D",20.333,20.733
"OW1",21.132,21.463,"BONE",20.983,21.623
"OW1",22.303,22.612,"BONE",22.243,22.693
"IY1",22.943,23.202,"BEAN",22.903,23.343
"IY1",24.253,24.483,"BEAN",24.202,24.623
"EH1",25.013,25.243,"BEN",24.853,25.423
"EH1",26.283,26.483,"BEN",26.163,26.643
"AO1",26.943,27.233,"BOD",26.913,27.433
"AO1",28.123,28.382,"BOD",28.083,28.463
"EY1",28.733,29.042,"BAY'D",28.702,29.243
"EY1",29.973,30.223,"BAY'D",29.833,30.393
"UW1",30.853,31.022,"WHO'D",30.713,31.153
"IY1",31.473,31.713,"BEAD",31.423,31.803
"IY1",32.112,32.383,"BEAD",32.053,32.553
"IY1",33.223,33.453,"BEAD",33.183,33.553
"IH1",33.923,34.073,"HID",33.793,34.273
"IH1",35.093,35.263,"HID",34.973,35.423
"UH1",35.933,36.143,"STOOD",35.663,36.313
"UH1",37.403,37.583,"STOOD",37.173,37.693
"UH1",38.103,38.293,"HOOD",38.033,38.423
"UH1",39.263,39.433,"HOOD",39.133,39.553
"EY1",39.923,40.253,"BANE",39.903,40.383
"EY1",41.113,41.423,"BANE",41.013,41.573
"AH1",41.683,41.913,"BUN",41.653,42.173
"AH1",42.783,42.983,"BUN",42.753,43.153
"AH1",43.483,43.643,"HUD",43.373,43.873
"AH1",44.653,44.823,"HUD",44.533,44.973
"ER1",45.283,45.553,"BURN",45.163,45.713
"ER1",46.383,46.653,"BURN",46.263,46.743
"AE1",47.143,47.343,"HAD",46.973,47.463
"EY1",47.893,48.103,"HEY'D",47.723,48.273
"ER1",48.643,48.853,"HEARD",48.503,48.973
"ER1",49.883,50.073,"HEARD",49.783,50.133
"UW1",50.533,50.713,"WHO'D",50.463,50.853
"UW1",51.933,52.073,"WHO'D",51.773,52.223
"AE1",52.473,52.783,"BAN",52.453,52.953
"AE1",53.553,53.853,"BAN",53.533,53.973
"EY1",54.263,54.473,"HEY'D",54.183,54.673
"EY1",55.353,55.583,"HEY'D",55.243,55.723
"IH1",56.043,56.233,"BIN",56.013,56.433
"IH1",57.173,57.353,"BIN",57.053,57.513
"OW1",57.783,58.023,"HOED",57.733,58.193
"OW1",59.083,59.303,"HOED",58.993,59.413
"AE1",59.703,60.013,"BAD",59.683,60.093
"AE1",60.443,60.663,"HAD",60.263,60.833
"AE1",61.523,61.753,"HAD",61.423,61.853
"IY1",62.163,62.403,"HEED",62.073,62.533
"AH1",62.883,63.163,"BUD",62.863,63.273
"OW1",63.643,63.913,"HOED",63.523,64.003
"EH1",64.463,64.643,"HEAD",64.313,64.833
"EH1",65.393,65.563,"HEAD",65.303,65.673
"EY1",65.973,66.263,"BAY'D",65.923,66.333
"ER1",66.663,66.883,"HEARD",66.593,66.993
"AE1",67.183,67.463,"BAD",67.163,67.653
"AE1",68.223,68.513,"BAD",68.133,68.613
"UH1",69.083,69.273,"STOOD",68.823,69.363
"EH1",69.723,69.943,"BED",69.693,70.033
"IH1",70.323,70.513,"BID",70.283,70.623
"IH1",71.3448073739162,71.553,"BID",71.3247574569536,71.6354710570987
"OW1",71.873,72.1384448473915,"BODE",71.823,72.3310093939232
"OW1",72.973,73.243,"BODE",72.8395788474261,73.373
"IY1",73.7822245435272,73.9945399464459,"HEED",73.6439726532546,74.243
"IY1",74.8926617461996,75.0864612709567,"HEED",74.7494722884172,75.203
