"","phon","start","end","word","wstart","wend"
"1","sp",0,0.123,"sp",0,0.123
"2","HH",0.123,0.283,"HAW'D",0.123,0.763
"3","AO1",0.283,0.483,"HAW'D",0.123,0.763
"4","D",0.483,0.763,"HAW'D",0.123,0.763
"5","sp",0.763,1.113,"sp",0.763,1.113
"6","B",1.113,1.153,"BAWN",1.113,1.693
"7","AO1",1.153,1.373,"BAWN",1.113,1.693
"8","N",1.373,1.693,"BAWN",1.113,1.693
"9","DH",1.693,1.723,"THE",1.693,1.803
"10","AH0",1.723,1.803,"THE",1.693,1.803
"11","W",1.803,1.983,"WORD",1.803,2.163
"12","ER1",1.983,2.143,"WORD",1.803,2.163
"13","D",2.143,2.163,"WORD",1.803,2.163
"14","IH1",2.163,2.333,"IS",2.163,2.413
"15","Z",2.333,2.413,"IS",2.163,2.413
"16","sp",2.413,2.523,"sp",2.413,2.523
"17","B",2.523,2.553,"BAWN",2.523,2.953
"18","AO1",2.553,2.793,"BAWN",2.523,2.953
"19","N",2.793,2.953,"BAWN",2.523,2.953
"20","sp",2.953,3.623,"sp",2.953,3.623
"21","HH",3.623,3.783,"HEY'D",3.623,4.293
"22","EY1",3.783,4.053,"HEY'D",3.623,4.293
"23","D",4.053,4.293,"HEY'D",3.623,4.293
"24","sp",4.293,4.673,"sp",4.293,4.673
"25","B",4.673,4.733,"BOO'D",4.673,5.173
"26","UW1",4.733,4.963,"BOO'D",4.673,5.173
"27","D",4.963,5.173,"BOO'D",4.673,5.173
"28","sp",5.173,5.463,"sp",5.173,5.463
"29","HH",5.463,5.633,"HEED",5.463,5.793
"30","IY1",5.633,5.723,"HEED",5.463,5.793
"31","D",5.723,5.793,"HEED",5.463,5.793
"32","DH",5.793,5.863,"THE",5.793,5.923
"33","AH0",5.863,5.923,"THE",5.793,5.923
"34","W",5.923,6.063,"WORD",5.923,6.213
"35","ER1",6.063,6.193,"WORD",5.923,6.213
"36","D",6.193,6.213,"WORD",5.923,6.213
"37","IH1",6.213,6.303,"IS",6.213,6.353
"38","Z",6.303,6.353,"IS",6.213,6.353
"39","HH",6.353,6.543,"HEED",6.353,6.843
"40","IY1",6.543,6.703,"HEED",6.353,6.843
"41","D",6.703,6.843,"HEED",6.353,6.843
"42","sp",6.843,7.063,"sp",6.843,7.063
"43","HH",7.063,7.223,"HEAD",7.063,7.353
"44","EH1",7.223,7.323,"HEAD",7.063,7.353
"45","D",7.323,7.353,"HEAD",7.063,7.353
"46","DH",7.353,7.433,"THE",7.353,7.483
"47","AH0",7.433,7.483,"THE",7.353,7.483
"48","W",7.483,7.633,"WORD",7.483,7.773
"49","ER1",7.633,7.723,"WORD",7.483,7.773
"50","D",7.723,7.773,"WORD",7.483,7.773
"51","IH1",7.773,7.843,"IS",7.773,7.963
"52","Z",7.843,7.963,"IS",7.773,7.963
"53","HH",7.963,8.083,"HEAD",7.963,8.273
"54","EH1",8.083,8.232,"HEAD",7.963,8.273
"55","D",8.232,8.273,"HEAD",7.963,8.273
"56","sp",8.273,8.632,"sp",8.273,8.632
"57","B",8.632,8.673,"BONE",8.632,8.953
"58","OW1",8.673,8.853,"BONE",8.632,8.953
"59","N",8.853,8.953,"BONE",8.632,8.953
"60","DH",8.953,8.992,"THE",8.953,9.103
"61","AH0",8.992,9.103,"THE",8.953,9.103
"62","W",9.103,9.273,"WORD",9.103,9.503
"63","ER1",9.273,9.412,"WORD",9.103,9.503
"64","D",9.412,9.503,"WORD",9.103,9.503
"65","IH1",9.503,9.632,"IS",9.503,9.753
"66","Z",9.632,9.753,"IS",9.503,9.753
"67","sp",9.753,9.802,"sp",9.753,9.802
"68","B",9.802,9.822,"BONE",9.802,10.162
"69","OW1",9.822,10.003,"BONE",9.802,10.162
"70","N",10.003,10.162,"BONE",9.802,10.162
"71","sp",10.162,10.613,"sp",10.162,10.613
"72","HH",10.613,10.763,"HEARD",10.613,11.023
"73","ER1",10.763,10.963,"HEARD",10.613,11.023
"74","D",10.963,11.023,"HEARD",10.613,11.023
"75","DH",11.023,11.072,"THE",11.023,11.123
"76","AH0",11.072,11.123,"THE",11.023,11.123
"77","W",11.123,11.253,"WORD",11.123,11.392
"78","ER1",11.253,11.373,"WORD",11.123,11.392
"79","D",11.373,11.392,"WORD",11.123,11.392
"80","IH1",11.392,11.482,"IS",11.392,11.593
"81","Z",11.482,11.593,"IS",11.392,11.593
"82","HH",11.593,11.703,"HEARD",11.593,11.933
"83","ER1",11.703,11.873,"HEARD",11.593,11.933
"84","D",11.873,11.933,"HEARD",11.593,11.933
"85","sp",11.933,12.492,"sp",11.933,12.492
"86","HH",12.492,12.632,"HID",12.492,12.783
"87","IH1",12.632,12.753,"HID",12.492,12.783
"88","D",12.753,12.783,"HID",12.492,12.783
"89","sp",12.783,12.843,"sp",12.783,12.843
"90","DH",12.843,12.972,"THE",12.843,13.033
"91","AH0",12.972,13.033,"THE",12.843,13.033
"92","W",13.033,13.173,"WORD",13.033,13.293
"93","ER1",13.173,13.253,"WORD",13.033,13.293
"94","D",13.253,13.293,"WORD",13.033,13.293
"95","AH0",13.293,13.353,"IS",13.293,13.463
"96","Z",13.353,13.463,"IS",13.293,13.463
"97","HH",13.463,13.613,"HID",13.463,13.833
"98","IH1",13.613,13.713,"HID",13.463,13.833
"99","D",13.713,13.833,"HID",13.463,13.833
"100","sp",13.833,14.203,"sp",13.833,14.203
"101","HH",14.203,14.283,"HUD",14.203,14.632
"102","AH1",14.283,14.412,"HUD",14.203,14.632
"103","D",14.412,14.632,"HUD",14.203,14.632
"104","sp",14.632,14.873,"sp",14.632,14.873
"105","B",14.873,15.023,"BAY'D",14.873,15.343
"106","EY1",15.023,15.302,"BAY'D",14.873,15.343
"107","D",15.302,15.343,"BAY'D",14.873,15.343
"108","sp",15.343,15.703,"sp",15.343,15.703
"109","B",15.703,15.812,"BED",15.703,16.023
"110","EH1",15.812,15.992,"BED",15.703,16.023
"111","D",15.992,16.023,"BED",15.703,16.023
"112","DH",16.023,16.062,"THE",16.023,16.133
"113","AH0",16.062,16.133,"THE",16.023,16.133
"114","W",16.133,16.252,"WORD",16.133,16.362
"115","ER1",16.252,16.322,"WORD",16.133,16.362
"116","D",16.322,16.362,"WORD",16.133,16.362
"117","IH1",16.362,16.412,"IS",16.362,16.563
"118","Z",16.412,16.563,"IS",16.362,16.563
"119","B",16.563,16.653,"BED",16.563,16.893
"120","EH1",16.653,16.853,"BED",16.563,16.893
"121","D",16.853,16.893,"BED",16.563,16.893
"122","sp",16.893,17.083,"sp",16.893,17.083
"123","HH",17.083,17.243,"HEARD",17.083,17.583
"124","ER1",17.243,17.452,"HEARD",17.083,17.583
"125","D",17.452,17.583,"HEARD",17.083,17.583
"126","sp",17.583,17.913,"sp",17.583,17.913
"127","HH",17.913,18.103,"HOED",17.913,18.393
"128","OW1",18.103,18.333,"HOED",17.913,18.393
"129","D",18.333,18.393,"HOED",17.913,18.393
"130","sp",18.393,18.443,"sp",18.393,18.443
"131","DH",18.443,18.493,"THE",18.443,18.603
"132","AH0",18.493,18.603,"THE",18.443,18.603
"133","W",18.603,18.763,"WORD",18.603,18.873
"134","ER1",18.763,18.853,"WORD",18.603,18.873
"135","D",18.853,18.873,"WORD",18.603,18.873
"136","IH1",18.873,18.952,"IS",18.873,19.123
"137","Z",18.952,19.123,"IS",18.873,19.123
"138","HH",19.123,19.323,"HOED",19.123,19.713
"139","OW1",19.323,19.563,"HOED",19.123,19.713
"140","D",19.563,19.713,"HOED",19.123,19.713
"141","sp",19.713,20.083,"sp",19.713,20.083
"142","HH",20.083,20.263,"WHO'D",20.083,20.612
"143","UW1",20.263,20.403,"WHO'D",20.083,20.612
"144","D",20.403,20.612,"WHO'D",20.083,20.612
"145","sp",20.612,20.753,"sp",20.612,20.753
"146","B",20.753,20.783,"BUD",20.753,21.153
"147","AH1",20.783,20.963,"BUD",20.753,21.153
"148","D",20.963,21.153,"BUD",20.753,21.153
"149","DH",21.153,21.213,"THE",21.153,21.253
"150","AH0",21.213,21.253,"THE",21.153,21.253
"151","W",21.253,21.373,"WORD",21.253,21.543
"152","ER1",21.373,21.503,"WORD",21.253,21.543
"153","D",21.503,21.543,"WORD",21.253,21.543
"154","IH1",21.543,21.633,"IS",21.543,21.702
"155","Z",21.633,21.702,"IS",21.543,21.702
"156","sp",21.702,21.842,"sp",21.702,21.842
"157","B",21.842,21.883,"BUD",21.842,22.112
"158","AH1",21.883,22.053,"BUD",21.842,22.112
"159","D",22.053,22.112,"BUD",21.842,22.112
"160","sp",22.112,22.293,"sp",22.112,22.293
"161","B",22.293,22.353,"BOO'D",22.293,22.653
"162","UW1",22.353,22.553,"BOO'D",22.293,22.653
"163","D",22.553,22.653,"BOO'D",22.293,22.653
"164","sp",22.653,22.673,"sp",22.653,22.673
"165","DH",22.673,22.702,"THE",22.673,22.783
"166","AH0",22.702,22.783,"THE",22.673,22.783
"167","W",22.783,22.893,"WORD",22.783,23.043
"168","ER1",22.893,23.022,"WORD",22.783,23.043
"169","D",23.022,23.043,"WORD",22.783,23.043
"170","IH1",23.043,23.123,"IS",23.043,23.163
"171","Z",23.123,23.163,"IS",23.043,23.163
"172","sp",23.163,23.293,"sp",23.163,23.293
"173","B",23.293,23.383,"BOO'D",23.293,23.663
"174","UW1",23.383,23.583,"BOO'D",23.293,23.663
"175","D",23.583,23.663,"BOO'D",23.293,23.663
"176","HH",23.663,23.993,"HOOD",23.663,24.153
"177","UH1",23.993,24.112,"HOOD",23.663,24.153
"178","D",24.112,24.153,"HOOD",23.663,24.153
"179","sp",24.153,24.213,"sp",24.153,24.213
"180","DH",24.213,24.272,"THE",24.213,24.323
"181","AH0",24.272,24.323,"THE",24.213,24.323
"182","W",24.323,24.463,"WORD",24.323,24.573
"183","ER1",24.463,24.553,"WORD",24.323,24.573
"184","D",24.553,24.573,"WORD",24.323,24.573
"185","IH1",24.573,24.663,"IS",24.573,24.772
"186","Z",24.663,24.772,"IS",24.573,24.772
"187","sp",24.772,24.803,"sp",24.772,24.803
"188","HH",24.803,24.932,"HOOD",24.803,25.112
"189","UH1",24.932,25.073,"HOOD",24.803,25.112
"190","D",25.073,25.112,"HOOD",24.803,25.112
"191","HH",25.112,25.413,"HAW'D",25.112,25.663
"192","AO1",25.413,25.623,"HAW'D",25.112,25.663
"193","D",25.623,25.663,"HAW'D",25.112,25.663
"194","sp",25.663,25.733,"sp",25.663,25.733
"195","DH",25.733,25.772,"THE",25.733,25.842
"196","AH0",25.772,25.842,"THE",25.733,25.842
"197","W",25.842,25.973,"WORD",25.842,26.103
"198","ER1",25.973,26.073,"WORD",25.842,26.103
"199","D",26.073,26.103,"WORD",25.842,26.103
"200","IH1",26.103,26.193,"IS",26.103,26.313
"201","Z",26.193,26.313,"IS",26.103,26.313
"202","HH",26.313,26.463,"HAW'D",26.313,26.702
"203","AO1",26.463,26.663,"HAW'D",26.313,26.702
"204","D",26.663,26.702,"HAW'D",26.313,26.702
"205","sp",26.702,26.893,"sp",26.702,26.893
"206","B",26.893,26.952,"BEAD",26.893,27.243
"207","IY1",26.952,27.153,"BEAD",26.893,27.243
"208","D",27.153,27.243,"BEAD",26.893,27.243
"209","DH",27.243,27.283,"THE",27.243,27.333
"210","AH0",27.283,27.333,"THE",27.243,27.333
"211","W",27.333,27.463,"WORD",27.333,27.583
"212","ER1",27.463,27.543,"WORD",27.333,27.583
"213","D",27.543,27.583,"WORD",27.333,27.583
"214","IH1",27.583,27.682,"IS",27.583,27.823
"215","Z",27.682,27.823,"IS",27.583,27.823
"216","sp",27.823,27.883,"sp",27.823,27.883
"217","B",27.883,27.932,"BEAD",27.883,28.173
"218","IY1",27.932,28.123,"BEAD",27.883,28.173
"219","D",28.123,28.173,"BEAD",27.883,28.173
"220","sp",28.173,28.333,"sp",28.173,28.333
"221","B",28.333,28.362,"BODE",28.333,28.743
"222","OW1",28.362,28.643,"BODE",28.333,28.743
"223","D",28.643,28.743,"BODE",28.333,28.743
"224","DH",28.743,28.783,"THE",28.743,28.823
"225","AH0",28.783,28.823,"THE",28.743,28.823
"226","W",28.823,28.983,"WORD",28.823,29.123
"227","ER1",28.983,29.073,"WORD",28.823,29.123
"228","D",29.073,29.123,"WORD",28.823,29.123
"229","AH0",29.123,29.173,"IS",29.123,29.223
"230","Z",29.173,29.223,"IS",29.123,29.223
"231","sp",29.223,29.403,"sp",29.223,29.403
"232","B",29.403,29.432,"BODE",29.403,29.763
"233","OW1",29.432,29.713,"BODE",29.403,29.763
"234","D",29.713,29.763,"BODE",29.403,29.763
"235","sp",29.763,30.153,"sp",29.763,30.153
"236","HH",30.153,30.342,"HAD",30.153,30.522
"237","AE1",30.342,30.493,"HAD",30.153,30.522
"238","D",30.493,30.522,"HAD",30.153,30.522
"239","sp",30.522,30.573,"sp",30.522,30.573
"240","DH",30.573,30.623,"THE",30.573,30.653
"241","AH0",30.623,30.653,"THE",30.573,30.653
"242","W",30.653,30.813,"WORD",30.653,30.943
"243","ER1",30.813,30.913,"WORD",30.653,30.943
"244","D",30.913,30.943,"WORD",30.653,30.943
"245","IH1",30.943,31.033,"IS",30.943,31.063
"246","Z",31.033,31.063,"IS",30.943,31.063
"247","HH",31.063,31.323,"HAD",31.063,31.522
"248","AE1",31.323,31.483,"HAD",31.063,31.522
"249","D",31.483,31.522,"HAD",31.063,31.522
"250","sp",31.522,31.713,"sp",31.522,31.713
"251","B",31.713,31.893,"BOD",31.713,32.213
"252","AO1",31.893,32.133,"BOD",31.713,32.213
"253","D",32.133,32.213,"BOD",31.713,32.213
"254","sp",32.213,32.243,"sp",32.213,32.243
"255","DH",32.243,32.293,"THE",32.243,32.353
"256","AH0",32.293,32.353,"THE",32.243,32.353
"257","W",32.353,32.483,"WORD",32.353,32.643
"258","ER1",32.483,32.593,"WORD",32.353,32.643
"259","D",32.593,32.643,"WORD",32.353,32.643
"260","IH1",32.643,32.743,"IS",32.643,32.873
"261","Z",32.743,32.873,"IS",32.643,32.873
"262","sp",32.873,32.893,"sp",32.873,32.893
"263","B",32.893,32.933,"BOD",32.893,33.263
"264","AO1",32.933,33.143,"BOD",32.893,33.263
"265","D",33.143,33.263,"BOD",32.893,33.263
"266","sp",33.263,33.463,"sp",33.263,33.463
"267","B",33.463,33.613,"BODE",33.463,33.973
"268","OW1",33.613,33.853,"BODE",33.463,33.973
"269","D",33.853,33.973,"BODE",33.463,33.973
"270","sp",33.973,34.173,"sp",33.973,34.173
"271","HH",34.173,34.363,"HAD",34.173,34.723
"272","AE1",34.363,34.513,"HAD",34.173,34.723
"273","D",34.513,34.723,"HAD",34.173,34.723
"274","sp",34.723,34.933,"sp",34.723,34.933
"275","B",34.933,35.083,"BUN",34.933,35.323
"276","AH1",35.083,35.203,"BUN",34.933,35.323
"277","N",35.203,35.323,"BUN",34.933,35.323
"278","DH",35.323,35.363,"THE",35.323,35.403
"279","AH1",35.363,35.403,"THE",35.323,35.403
"280","W",35.403,35.573,"WORD",35.403,35.693
"281","ER1",35.573,35.643,"WORD",35.403,35.693
"282","D",35.643,35.693,"WORD",35.403,35.693
"283","IH1",35.693,35.813,"IS",35.693,35.873
"284","Z",35.813,35.873,"IS",35.693,35.873
"285","B",35.873,35.973,"BUN",35.873,36.283
"286","AH1",35.973,36.093,"BUN",35.873,36.283
"287","N",36.093,36.283,"BUN",35.873,36.283
"288","sp",36.283,36.493,"sp",36.283,36.493
"289","B",36.493,36.553,"BID",36.493,36.773
"290","IH1",36.553,36.703,"BID",36.493,36.773
"291","D",36.703,36.773,"BID",36.493,36.773
"292","sp",36.773,36.893,"sp",36.773,36.893
"293","HH",36.893,37.043,"HEAD",36.893,37.243
