"vowel","start","end","word","wstart","wend"
"ER1",0.153,0.453,"BURN",0.103,0.523
"ER1",1.392,1.662,"BURN",1.343,1.793
"EY1",2.523,2.873,"BANE",2.473,3.083
"EY1",3.873,4.143,"BANE",3.833,4.263
"OW1",4.913,5.263,"BODE",4.873,5.363
"OW1",6.223,6.523,"BODE",6.173,6.723
"EH1",7.303,7.563,"BEN",7.283,7.773
"EH1",8.513,8.733,"BEN",8.473,8.862
"OW1",9.302,9.663,"BONE",9.263,9.792
"OW1",10.792,11.143,"BONE",10.753,11.243
"IY1",11.843,12.143,"BEAN",11.813,12.272
"IY1",13.103,13.362,"BEAN",13.083,13.483
"EH1",14.103,14.302,"HEAD",13.973,14.382
"EH1",15.763,15.923,"HEAD",15.643,15.973
"AE1",16.412,16.763,"BAN",16.393,16.923
"AE1",17.473,17.743,"BAN",17.423,17.853
"UH1",18.523,18.763,"STOOD",18.232,18.863
"UH1",19.822,20.033,"STOOD",19.563,20.083
"AO1",20.662,20.993,"BOD",20.623,21.143
"AO1",21.993,22.333,"BOD",21.963,22.453
"AH1",22.963,23.223,"HUD",22.873,23.363
"AH1",24.183,24.393,"HUD",24.023,24.502
"AO1",25.203,25.563,"BAWN",25.153,25.783
"AO1",26.783,27.063,"BAWN",26.732,27.223
"AE1",27.493,27.863,"BAD",27.473,28.002
"AE1",28.543,28.873,"BAD",28.523,28.973
"IH1",29.283,29.513,"HID",29.223,29.643
"IH1",30.423,30.643,"HID",30.243,30.743
"IY1",31.243,31.583,"BEAD",31.223,31.723
"IY1",32.593,32.893,"BEAD",32.493,32.993
"AO1",33.683,34.063,"HAW'D",33.613,34.193
"AO1",34.963,35.223,"HAW'D",34.873,35.363
"ER1",35.883,36.153,"HEARD",35.823,36.333
"ER1",37.203,37.463,"HEARD",37.083,37.563
"IH1",38.143,38.493,"BIN",38.123,38.703
"IH1",39.553,39.803,"BIN",39.523,39.943
"EY1",40.623,40.913,"HEY'D",40.543,41.093
"EY1",41.993,42.283,"HEY'D",41.853,42.403
"OW1",43.313,43.663,"HOED",43.273,43.853
"OW1",44.563,44.793,"HOED",44.463,44.923
"EY1",45.473,45.823,"BAY'D",45.453,45.953
"EY1",46.663,46.953,"BAY'D",46.623,47.053
"UW1",47.773,48.113,"BOO'D",47.723,48.273
"UW1",49.243,49.493,"BOO'D",49.193,49.633
"EH1",50.143,50.423,"BED",50.123,50.573
"EH1",51.293,51.543,"BED",51.273,51.653
"IH1",52.073,52.383,"BID",52.053,52.493
"IH1",53.433,53.733,"BID",53.393,53.843
"AH1",54.473,54.783,"BUN",54.443,54.973
"AH1",55.893,56.143,"BUN",55.863,56.303
"ER1",56.833,57.113,"BIRD",56.783,57.223
"ER1",58.213,58.463,"BIRD",58.163,58.563
"AH1",58.943,59.263,"BUD",58.913,59.363
"AH1",60.093,60.323,"BUD",60.043,60.453
"AE1",60.913,61.163,"HAD",60.833,61.303
"AE1",61.933,62.163,"HAD",61.843,62.253
"UW1",62.783,62.963,"WHO'D",62.693,63.103
"UW1",63.973,64.163,"WHO'D",63.933,64.303
"IY1",65.023,65.263,"HEED",64.923,65.433
"IY1",66.263,66.473,"HEED",66.103,66.573
"UH1",67.153,67.403,"HOOD",67.063,67.523
"UH1",68.373,68.593,"HOOD",68.293,68.643
"UW1",69.283,69.603,"BOON",69.213,69.723
"UW1",70.633,70.873,"BOON",70.573,71.013
