"vowel","start","end","word","wstart","wend"
"AE1",1.41,1.7,"BAD",1.36,1.77
"AE1",2.559,2.89,"BAD",2.52,3
"AO1",3.37,3.65,"HAW'D",3.2,3.74
"AO1",5.03,5.34,"HAW'D",4.9,5.52
"AH1",5.68,5.94,"BUD",5.64,6.07
"IY1",6.68,6.96,"HEED",6.41,7.12
"AO1",7.45,7.77,"BOD",7.41,7.92
"AO1",8.76,9.05,"BOD",8.71,9.189
"IH1",9.599,9.829,"BIN",9.579,10.05
"IH1",10.72,10.95,"BIN",10.7,11.15
"UW1",11.82,12.07,"WHO'D",11.669,12.249
"AE1",12.78,13.05,"HAD",12.61,13.159
"OW1",13.499,13.81,"HOED",13.46,14.04
"OW1",14.8,15.079,"HOED",14.74,15.249
"IH1",15.65,15.919,"BID",15.62,16.06
"AE1",16.57,16.849,"HAD",16.4,16.999
"AE1",17.86,18.139,"HAD",17.74,18.28
"EY1",18.66,18.97,"HEY'D",18.549,19.119
"EY1",20.139,20.43,"HEY'D",20,20.56
"UW1",21.11,21.44,"BOO'D",21.06,21.6
"UW1",22.5,22.799,"BOO'D",22.45,22.92
"IH1",23.459,23.7,"HID",23.34,23.869
"AO1",24.26,24.6,"BAWN",24.22,24.78
"AO1",25.61,25.94,"BAWN",25.56,26.11
"AH1",26.58,26.869,"BUD",26.53,26.979
"AH1",27.889,28.16,"BUD",27.85,28.31
"EY1",28.76,29.11,"BAY'D",28.729,29.26
"EY1",30.1,30.42,"BAY'D",30.049,30.54
"AO1",31.06,31.38,"HAW'D",30.94,31.53
"UH1",32.41,32.68,"STOOD",32.16,32.82
"UH1",33.79,34.03,"STOOD",33.55,34.2
"UH1",34.57,34.81,"HOOD",34.4,35.02
"UW1",35.48,35.76,"BOON",35.42,35.93
"UW1",36.95,37.22,"BOON",36.85,37.38
"IY1",38.04,38.32,"HEED",37.82,38.44
"IY1",39.48,39.76,"HEED",39.3,39.9
"AE1",40.2,40.56,"BAN",40.17,40.74
"AE1",41.46,41.82,"BAN",41.43,41.96
"UW1",42.49,42.79,"WHO'D",42.32,42.9
"UW1",43.85,44.14,"WHO'D",43.72,44.31
"EY1",44.55,44.87,"HEY'D",44.43,45.04
"AH1",45.48,45.69,"HUD",45.42,45.86
"AH1",46.74,46.96,"HUD",46.61,47.14
"EH1",47.58,47.79,"HEAD",47.42,47.99
"ER1",48.4,48.69,"BIRD",48.34,48.8
"ER1",49.7,49.98,"BIRD",49.6,50.1
"ER1",50.54,50.85,"HEARD",50.4,51
"EH1",51.2,51.46,"BED",51.14,51.61
"EH1",52.46,52.7,"BED",52.4,52.83
"AE1",53.36,53.71,"BAD",53.32,53.86
"IY1",54.32,54.59,"BEAD",54.26,54.64
"IY1",55.3,55.57,"BEAD",55.22,55.69
"EH1",56.19,56.42,"BED",56.14,56.47
"UW1",56.74,57.03,"BOO'D",56.69,57.2
"AH1",57.58,57.84,"BUN",57.54,58.04
"AH1",58.72,58.98,"BUN",58.69,59.15
"IH1",59.58,59.82,"HID",59.45,59.96
"IH1",60.81,61.02,"HID",60.73,61.18
"OW1",61.55,61.89,"BODE",61.52,62.01
"OW1",62.74,63.07,"BODE",62.7,63.25
"ER1",63.79,64.08,"BIRD",63.73,64.21
"EY1",64.53,64.89,"BAY'D",64.49,65.02
"AO1",65.19,65.52,"BOD",65.14,65.67
"ER1",65.95,66.23,"HEARD",65.81,66.36
"ER1",67.09,67.37,"HEARD",66.99,67.51
"OW1",67.96,68.3,"BODE",67.93,68.5
"IY1",68.72,68.93,"BEAD",68.64,69.16
"OW1",69.67,70,"HOED",69.63,70.19
"IH1",70.61,70.88,"BID",70.58,70.93
"IH1",71.61,71.89,"BID",71.54,72.04
"EH1",72.57,72.82,"BEN",72.54,73.01
"EH1",73.58,73.8,"BEN",73.53,74.01
"UH1",74.52,74.79,"STOOD",74.31,74.91
"EH1",75.25,75.48,"HEAD",75.11,75.54
"EH1",76.85,77.05,"HEAD",76.74,77.25
"IY1",77.62,77.84,"BEAN",77.58,77.99
"IY1",78.56,78.8,"BEAN",78.5,78.96
"EY1",79.32,79.57,"BANE",79.28,79.71
"EY1",80.27,80.54,"BANE",80.17,80.72
"AH1",80.95,81.21,"HUD",80.83,81.38
"UH1",81.71,81.94,"HOOD",81.58,82.03
"UH1",82.7,82.93,"HOOD",82.62,82.98
"OW1",83.4,83.73,"BONE",83.36,83.83
"OW1",84.41,84.73,"BONE",84.34,84.88
"ER1",85.15,85.41,"BURN",85.08,85.54
"ER1",86.16,86.45,"BURN",86.06,86.6
